published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,647.1,660.0,623.2,631.9,-2.35,12310.0,7803517.2,-1
2025-12-09,644.0,644.0,627.0,634.8,-1.43,11481.0,7261664.9,-1
2025-12-10,643.0,643.0,615.0,634.0,-1.4,11570.0,7238904.3,-1
2025-12-11,628.0,652.6,622.0,628.0,0.0,19822.0,12627257.5,0
2025-12-14,639.9,639.9,618.0,628.0,-1.86,5826.0,3634234.9,-1
2025-12-15,620.0,637.0,620.0,623.0,0.48,10005.0,6233804.4,1
2025-12-16,620.0,644.0,620.0,644.0,3.87,7389.0,4691466.5,1
2025-12-17,632.0,664.0,632.0,661.0,4.59,41769.0,27379601.6,1
2025-12-18,655.0,668.0,640.0,647.8,-1.1,14456.0,9390626.7,-1
2025-12-21,635.0,652.0,633.2,634.0,-0.16,7961.0,5088028.9,-1
2025-12-22,626.0,646.5,625.3,629.9,0.62,3795.0,2383288.6,1
2025-12-23,620.1,642.4,620.1,627.7,1.23,10742.0,6737857.4,1
2025-12-24,617.0,634.0,617.0,634.0,2.76,7238.0,4548623.1,1
2025-12-28,646.0,646.0,626.2,642.0,-0.62,6208.0,3959135.3,-1
2025-12-29,631.0,665.0,631.0,639.7,1.38,12445.0,7982393.0,1
2025-12-31,627.0,652.0,627.0,639.9,2.06,9739.0,6181185.3,1
2026-01-01,630.0,643.0,630.0,643.0,2.06,12911.0,8166212.2,1
2026-01-04,630.2,649.9,578.7,632.5,0.36,7405.0,4691606.0,1
2026-01-05,632.7,643.0,627.2,639.8,1.12,19280.0,12169402.1,1
2026-01-06,635.0,649.0,630.0,637.9,0.46,17306.0,10959668.1,1
2026-01-07,628.2,645.2,628.2,640.0,1.88,10090.0,6444848.5,1
2026-01-08,633.0,650.0,633.0,642.0,1.42,14461.0,9289334.8,1
2026-01-12,633.1,641.0,631.3,635.0,0.3,7937.0,5024336.7,1
2026-01-13,640.0,645.9,628.2,635.0,-0.78,10951.0,6907230.2,-1
2026-01-14,626.0,698.5,626.0,639.9,2.22,7484.0,4766194.7,1
2026-01-18,643.0,650.0,635.0,645.0,0.31,15687.0,10056392.4,1
2026-01-20,645.0,665.0,642.3,651.9,1.07,50111.0,32753107.6,1
2026-01-21,662.0,664.9,645.2,655.0,-1.06,40590.0,26531248.9,-1
2026-01-22,650.0,675.0,650.0,665.0,2.31,47006.0,31177664.0,1
2026-01-25,666.0,700.7,666.0,689.0,3.45,47011.0,32315306.3,1
2026-01-26,690.0,695.0,665.2,676.0,-2.03,40007.0,27077458.8,-1
2026-01-27,685.0,685.0,645.9,657.0,-4.09,49033.0,32670043.2,-1
2026-01-28,643.9,672.0,643.9,656.4,1.94,19513.0,12841652.1,1
2026-01-29,650.1,664.0,650.1,657.9,1.2,28029.0,18447648.0,1
2026-02-01,646.1,662.0,646.1,657.0,1.69,15761.0,10360602.7,1
2026-02-02,668.8,668.8,651.3,661.5,-1.09,9983.0,6532067.3,-1
2026-02-03,652.1,660.0,652.0,653.1,0.15,24480.0,16055648.1,1
2026-02-04,660.0,666.0,656.5,662.0,0.3,11464.0,7572808.0,1
2026-02-05,665.0,674.0,652.1,670.5,0.83,16369.0,10857723.9,1
2026-02-08,671.0,680.0,662.0,662.0,-1.34,27676.0,18557605.0,-1
2026-02-09,662.0,667.0,656.1,658.0,-0.6,13445.0,8853791.8,-1
2026-02-10,651.0,660.5,650.0,654.0,0.46,28859.0,18940694.5,1
2026-02-11,667.0,667.0,652.0,656.0,-1.65,31844.0,20937872.2,-1
2026-02-12,650.2,660.0,650.2,654.1,0.6,14480.0,9489081.8,1
2026-02-16,665.0,665.0,651.0,651.0,-2.11,10664.0,6976340.5,-1
2026-02-17,659.0,659.0,641.0,641.0,-2.73,18647.0,12084108.7,-1
2026-02-22,653.0,653.0,630.0,634.4,-2.85,8638.0,5486311.3,-1
2026-02-23,634.4,645.0,634.4,635.1,0.11,3761.0,2393309.6,1
2026-02-24,635.1,651.0,628.8,651.0,2.5,9202.0,5907536.3,1
2026-02-25,655.0,655.0,641.0,651.0,-0.61,2196.0,1417561.1,-1
2026-02-26,664.0,664.0,641.0,641.1,-3.45,5299.0,3429591.2,-1
2026-03-01,628.3,672.0,628.3,658.9,4.87,10373.0,6781364.8,1
2026-03-03,650.1,672.0,650.1,670.0,3.06,18352.0,12196252.6,1
2026-03-09,683.4,710.0,683.4,710.0,3.89,50.0,34572.0,1
2026-03-10,724.2,724.2,680.0,689.0,-4.86,57251.0,39740485.1,-1
2026-03-11,675.3,692.0,670.1,675.3,0.0,13826.0,9380144.1,0
2026-03-12,666.0,724.0,662.0,679.9,2.09,25126.0,16951836.0,1
2026-03-15,666.4,691.5,666.4,683.0,2.49,11614.0,7870832.5,1
2026-03-16,673.1,682.0,671.2,674.0,0.13,18633.0,12573395.3,1
2026-03-17,669.0,675.0,669.0,670.0,0.15,10680.0,7182147.2,1
2026-03-19,668.0,688.5,668.0,687.0,2.84,36401.0,24776862.3,1
2026-03-22,696.0,741.5,690.0,733.9,5.45,106345.0,77061333.5,1
2026-03-23,740.1,763.0,740.0,747.5,1.0,72131.0,53847459.3,1
2026-03-24,747.5,750.0,733.0,735.0,-1.67,31791.0,23463811.4,-1
