published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-10-18,118.00,120.00,118.00,120.00,0.00,1090.00,130420.00,0
2012-10-30,120.00,119.00,118.00,119.00,0.00,780.00,92360.00,0
2012-10-31,119.00,122.00,120.00,122.00,0.00,760.00,91740.00,0
2012-11-01,122.00,121.00,119.00,120.00,0.00,550.00,65970.00,0
2012-11-04,120.00,122.00,118.00,120.00,0.00,660.00,79620.00,0
2012-11-05,120.00,124.00,122.00,124.00,0.00,1440.00,175860.00,0
2012-11-06,124.00,128.00,125.00,128.00,0.00,490.00,61870.00,0
2012-11-07,128.00,129.00,128.00,128.00,0.00,220.00,28280.00,0
2012-11-21,128.00,130.00,130.00,130.00,0.00,720.00,93600.00,0
2012-11-22,130.00,128.00,126.00,126.00,0.00,470.00,59760.00,0
2012-11-25,126.00,124.00,116.00,116.00,0.00,660.00,77840.00,0
2012-11-26,116.00,118.00,116.00,116.00,0.00,560.00,64980.00,0
2012-11-27,116.00,117.00,117.00,117.00,0.00,2530.00,296010.00,0
2012-11-28,117.00,119.00,119.00,119.00,0.00,520.00,61880.00,0
2012-11-29,119.00,117.00,117.00,117.00,0.00,750.00,87750.00,0
2012-12-03,117.00,116.00,116.00,116.00,0.00,80.00,9280.00,0
2012-12-04,116.00,118.00,116.00,118.00,0.00,310.00,36220.00,0
2012-12-05,118.00,118.00,117.00,117.00,0.00,730.00,85590.00,0
2012-12-06,117.00,119.00,117.00,118.00,0.00,1180.00,138920.00,0
2012-12-09,118.00,118.00,116.00,116.00,0.00,1430.00,166230.00,0
2012-12-10,116.00,118.00,116.00,116.00,0.00,200.00,23500.00,0
2012-12-11,116.00,118.00,114.00,118.00,0.00,910.00,104740.00,0
2012-12-12,118.00,116.00,116.00,116.00,0.00,150.00,17400.00,0
2012-12-13,116.00,117.00,117.00,117.00,0.00,360.00,42120.00,0
2012-12-17,117.00,117.00,117.00,117.00,0.00,60.00,7020.00,0
2012-12-18,117.00,116.00,116.00,116.00,0.00,430.00,49880.00,0
2012-12-19,116.00,116.00,116.00,116.00,0.00,50.00,5800.00,0
2012-12-20,116.00,120.00,118.00,120.00,0.00,160.00,19180.00,0
2012-12-24,120.00,122.00,122.00,122.00,0.00,200.00,24400.00,0
2012-12-31,122.00,121.00,120.00,120.00,0.00,1010.00,121700.00,0
2013-01-01,120.00,118.00,118.00,118.00,0.00,80.00,9440.00,0
2013-01-03,118.00,118.00,118.00,118.00,0.00,50.00,5900.00,0
2013-01-06,118.00,118.00,118.00,118.00,0.00,60.00,7080.00,0
2013-01-08,118.00,117.00,116.00,116.00,0.00,1690.00,196260.00,0
2013-01-10,116.00,115.00,115.00,115.00,0.00,50.00,5750.00,0
2013-01-16,115.00,116.00,115.00,115.00,0.00,690.00,79740.00,0
2013-01-20,115.00,115.00,115.00,115.00,0.00,320.00,36800.00,0
2013-01-22,115.00,125.00,117.00,125.00,0.00,1280.00,152120.00,0
2013-01-24,125.00,130.00,127.00,130.00,0.00,2080.00,268420.00,0
2013-01-27,130.00,132.00,128.00,128.00,0.00,3060.00,396110.00,0
2013-01-28,128.00,127.00,125.00,125.00,0.00,670.00,84400.00,0
2013-01-30,125.00,125.00,123.00,125.00,0.00,1440.00,179000.00,0
2013-01-31,125.00,127.00,127.00,127.00,0.00,620.00,78740.00,0
2013-02-03,127.00,129.00,127.00,127.00,0.00,780.00,100220.00,0
2013-02-04,127.00,131.00,127.00,130.00,0.00,1340.00,173610.00,0
2013-02-05,130.00,128.00,127.00,127.00,0.00,250.00,31850.00,0
2013-02-06,127.00,130.00,128.00,129.00,0.00,1030.00,133210.00,0
2013-02-07,129.00,129.00,127.00,129.00,0.00,440.00,56620.00,0
2013-02-12,129.00,130.00,130.00,130.00,0.00,100.00,13000.00,0
2013-02-13,130.00,129.00,129.00,129.00,0.00,450.00,58050.00,0
2013-02-14,129.00,131.00,130.00,131.00,0.00,380.00,49610.00,0
2013-02-19,131.00,133.00,133.00,133.00,0.00,430.00,57190.00,0
2013-02-20,133.00,133.00,131.00,131.00,0.00,390.00,51190.00,0
2013-02-21,131.00,129.00,129.00,129.00,0.00,200.00,25800.00,0
2013-02-24,129.00,128.00,127.00,127.00,0.00,240.00,30540.00,0
2014-09-07,127.00,139.00,129.00,139.00,0.00,60.00,8040.00,0
2014-09-09,139.00,151.00,145.00,151.00,0.00,40.00,5920.00,0
2014-09-10,151.00,166.00,154.00,166.00,0.00,50.00,8000.00,0
2014-09-11,166.00,182.00,169.00,182.00,0.00,60.00,10570.00,0
2014-09-14,182.00,200.00,191.00,200.00,0.00,40.00,7820.00,0
2014-09-15,200.00,220.00,210.00,220.00,0.00,160.00,34700.00,0
2014-09-30,220.00,235.00,231.00,235.00,0.00,260.00,60300.00,0
2014-10-08,235.00,251.00,239.00,251.00,0.00,460.00,112460.00,0
2014-10-09,251.00,266.00,256.00,266.00,0.00,430.00,111430.00,0
2014-10-12,266.00,291.00,271.00,291.00,0.00,130.00,36330.00,0
2014-10-13,291.00,320.00,296.00,320.00,0.00,21003.00,6718660.00,0
2014-10-14,320.00,328.00,301.00,320.00,0.00,6800.00,2162410.00,0
2014-10-15,320.00,325.00,314.00,320.00,0.00,4750.00,1513090.00,0
2014-10-16,320.00,326.00,315.00,321.00,0.00,4661.00,1501325.00,0
2014-10-19,321.00,327.00,321.00,322.00,0.00,756.00,243659.00,0
2014-10-20,322.00,320.00,311.00,314.00,0.00,1573.00,496832.00,0
2014-10-21,314.00,320.00,315.00,315.00,0.00,570.00,180800.00,0
2014-10-22,315.00,327.00,321.00,325.00,0.00,1559.00,504755.00,0
2014-10-26,325.00,324.00,318.00,318.00,0.00,1270.00,404830.00,0
2014-10-27,318.00,320.00,312.00,318.00,0.00,1683.00,532906.00,0
2014-10-28,318.00,325.00,315.00,319.00,0.00,2480.00,794790.00,0
2014-10-30,319.00,321.00,314.00,321.00,0.00,969.00,305947.00,0
2014-11-02,321.00,315.00,309.00,309.00,0.00,150.00,46950.00,0
2014-11-03,309.00,308.00,304.00,308.00,0.00,990.00,303260.00,0
2014-11-04,308.00,302.00,302.00,302.00,0.00,92.00,27784.00,0
2014-11-05,302.00,306.00,294.00,301.00,0.00,6349.00,1904780.00,0
2014-11-06,301.00,313.00,303.00,313.00,0.00,321.00,98207.00,0
2014-11-09,313.00,311.00,307.00,311.00,0.00,810.00,249360.00,0
2014-11-10,311.00,311.00,305.00,306.00,0.00,773.00,239633.00,0
2014-11-11,306.00,304.00,294.00,298.00,0.00,2101.00,628714.00,0
2014-11-12,298.00,305.00,300.00,305.00,0.00,4673.00,1407860.00,0
2014-11-13,305.00,299.00,294.00,294.00,0.00,170.00,50330.00,0
2014-11-16,294.00,291.00,286.00,290.00,0.00,910.00,261790.00,0
2014-11-17,290.00,290.00,285.00,290.00,0.00,973.00,281670.00,0
2014-11-18,290.00,285.00,275.00,275.00,0.00,671.00,188735.00,0
2014-11-19,275.00,282.00,280.00,282.00,0.00,220.00,61820.00,0
2014-11-20,282.00,277.00,277.00,277.00,0.00,500.00,138500.00,0
2014-11-23,277.00,285.00,280.00,285.00,0.00,1820.00,513670.00,0
2014-11-24,285.00,285.00,280.00,280.00,0.00,6980.00,1975880.00,0
2014-11-30,280.00,288.00,275.00,288.00,0.00,2433.00,688505.00,0
2014-12-01,288.00,290.00,285.00,286.00,0.00,2250.00,643520.00,0
2014-12-02,286.00,284.00,283.00,283.00,0.00,627.00,177531.00,0
2014-12-03,283.00,285.00,280.00,283.00,0.00,2666.00,755430.00,0
2014-12-04,283.00,290.00,282.00,282.00,0.00,1751.00,500082.00,0
2014-12-07,282.00,284.00,277.00,283.00,0.00,1833.00,511981.00,0
2014-12-09,283.00,278.00,278.00,278.00,0.00,440.00,122320.00,0
2014-12-11,278.00,283.00,283.00,283.00,0.00,200.00,56600.00,0
2014-12-14,283.00,303.00,288.00,303.00,0.00,707.00,206928.00,0
2014-12-15,303.00,297.00,297.00,297.00,0.00,443.00,131571.00,0
2014-12-16,297.00,292.00,292.00,292.00,0.00,120.00,35040.00,0
2014-12-17,292.00,295.00,290.00,295.00,0.00,2190.00,637470.00,0
2014-12-18,295.00,290.00,290.00,290.00,0.00,170.00,49300.00,0
2014-12-21,290.00,285.00,285.00,285.00,0.00,170.00,48450.00,0
2014-12-22,285.00,285.00,285.00,285.00,0.00,5050.00,1439250.00,0
2014-12-23,285.00,285.00,280.00,285.00,0.00,1074.00,301625.00,0
2014-12-24,285.00,290.00,290.00,290.00,0.00,170.00,49300.00,0
2014-12-28,290.00,306.00,295.00,300.00,0.00,4549.00,1365041.00,0
2014-12-29,300.00,299.00,295.00,298.00,0.00,260.00,77240.00,0
2014-12-31,298.00,295.00,293.00,295.00,0.00,710.00,208230.00,0
2015-01-01,295.00,299.00,294.00,294.00,0.00,320.00,94380.00,0
