published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,592.0,602.8,592.0,600.0,1.35,1497.0,896449.6,1
2025-12-09,609.9,609.9,595.1,604.1,-0.95,5060.0,3032892.5,-1
2025-12-10,604.8,606.0,587.0,598.6,-1.03,6845.0,4064200.5,-1
2025-12-11,587.2,599.4,576.0,595.0,1.33,4768.0,2780225.7,1
2025-12-14,584.1,643.0,584.1,596.9,2.19,7376.0,4403480.2,1
2025-12-15,585.1,596.8,585.1,590.0,0.84,10764.0,6350765.8,1
2025-12-16,590.0,595.0,583.3,594.6,0.78,1211.0,713278.1,1
2025-12-17,595.0,600.0,587.1,599.0,0.67,8655.0,5121853.5,1
2025-12-18,590.0,597.0,587.1,597.0,1.19,8220.0,4852447.8,1
2025-12-21,597.0,608.0,587.0,602.0,0.84,8726.0,5226169.3,1
2025-12-22,590.6,604.0,590.6,594.0,0.58,8741.0,5230985.5,1
