published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,660.0,682.0,660.0,677.0,2.58,38149.0,25759521.5,1
2025-12-09,668.4,688.9,665.0,670.0,0.24,22570.0,15222927.2,1
2025-12-10,656.6,705.0,645.0,648.8,-1.19,36568.0,24137337.5,-1
2025-12-11,635.9,674.0,635.9,637.7,0.28,30132.0,19358987.1,1
2025-12-14,637.0,647.0,630.0,630.0,-1.1,31643.0,20114895.6,-1
2025-12-15,617.4,640.0,617.4,640.0,3.66,40023.0,25231257.9,1
2025-12-16,632.0,660.0,631.0,655.0,3.64,30784.0,19973561.0,1
2025-12-17,641.9,667.9,641.9,655.0,2.04,35349.0,23325110.4,1
2025-12-18,641.9,657.0,636.0,642.0,0.02,30679.0,19766210.2,1
2025-12-21,631.0,640.0,627.0,635.0,0.63,34781.0,21958255.9,1
2025-12-22,628.09,647.7,621.1,627.1,-0.16,23581.0,14867610.13,-1
2025-12-23,623.0,644.0,623.0,643.0,3.21,18498.0,11759377.6,1
2025-12-24,631.0,648.0,631.0,636.0,0.79,23230.0,14862617.6,1
2025-12-28,636.0,652.0,636.0,650.0,2.2,32022.0,20737814.0,1
2025-12-29,650.0,661.0,641.3,645.0,-0.77,25390.0,16460422.6,-1
2025-12-31,640.0,659.8,640.0,657.0,2.66,38117.0,24923805.0,1
