published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,855.1,865.0,851.5,864.6,1.11,7276.0,6223967.1,1
2025-12-09,851.2,867.5,850.0,859.9,1.02,10436.0,8913198.1,1
2025-12-10,859.9,865.0,847.0,862.0,0.24,36250.0,31175258.8,1
2025-12-11,861.0,863.0,854.0,855.0,-0.7,10664.0,9163151.9,-1
2025-12-14,869.0,869.0,851.7,857.5,-1.32,12885.0,11024559.4,-1
2025-12-15,857.5,866.8,853.0,862.0,0.52,20007.0,17277243.6,1
2025-12-16,864.0,870.0,859.0,867.0,0.35,12243.0,10637832.5,1
2025-12-17,870.9,884.0,865.0,883.0,1.39,26647.0,23312930.5,1
2025-12-18,866.1,888.0,862.4,887.4,2.46,85816.0,74526138.3,1
2025-12-21,886.9,886.9,871.0,884.0,-0.33,8968.0,7874074.2,-1
2025-12-22,871.3,880.0,861.0,869.0,-0.26,22506.0,19629855.6,-1
2025-12-23,855.0,870.0,853.0,869.0,1.64,9700.0,8413834.4,1
2025-12-24,854.2,870.0,854.2,865.0,1.26,6176.0,5335142.6,1
2025-12-28,878.0,899.1,871.1,899.1,2.4,33723.0,30005612.7,1
2025-12-29,900.0,905.0,890.0,896.5,-0.39,23593.0,21082998.7,-1
