published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.0,9.0,8.86,8.89,-1.22,3550.0,31870.5,-1
2025-12-09,8.89,9.06,8.88,8.91,0.22,16260.0,146335.6,1
2025-12-10,9.0,9.08,8.91,9.0,0.0,7250.0,65251.5,0
2025-12-11,8.89,9.17,8.89,9.0,1.24,19500.0,176503.0,1
2025-12-14,9.0,9.2,8.85,9.2,2.22,15254.0,137928.8,1
2025-12-15,9.02,9.1,9.02,9.06,0.44,2200.0,19926.0,1
2025-12-16,8.88,9.09,8.88,9.02,1.58,3600.0,32315.0,1
2025-12-17,8.91,9.19,8.91,9.19,3.14,6050.0,54844.5,1
2025-12-18,9.03,9.11,9.02,9.03,0.0,27155.0,245717.05,0
2025-12-21,8.86,9.21,8.86,9.06,2.26,12828.0,117094.12,1
