published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.38,9.38,9.13,9.3,-0.85,124500.0,1144295.0,-1
2025-12-09,9.48,9.48,9.12,9.12,-3.8,23863.0,218654.16,-1
2025-12-10,9.16,9.27,9.16,9.26,1.09,71330.0,659495.8,1
2025-12-11,9.16,9.3,9.16,9.26,1.09,30720.0,283975.2,1
2025-12-14,9.26,9.38,9.26,9.3,0.43,36310.0,338754.96,1
2025-12-15,9.42,9.42,9.25,9.25,-1.8,30500.0,282182.99,-1
2025-12-16,9.37,9.39,9.37,9.39,0.21,45000.0,422521.56,1
2025-12-17,9.39,9.39,9.25,9.25,-1.49,54398.0,509901.5,-1
2025-12-18,9.31,9.31,9.2,9.21,-1.07,16296.0,150345.76,-1
2025-12-21,9.1,9.92,9.1,9.5,4.4,334460.0,3245203.57,1
2025-12-22,9.54,9.58,9.4,9.55,0.1,80640.0,767926.7,1
2025-12-23,9.54,9.55,9.36,9.53,-0.1,124432.0,1175312.82,-1
2025-12-24,9.45,9.45,9.41,9.41,-0.42,34675.0,327518.75,-1
2025-12-28,9.59,9.85,9.59,9.61,0.21,123575.0,1210032.08,1
2025-12-29,9.42,9.58,9.25,9.45,0.32,45782.0,427785.7,1
2025-12-31,9.3,9.4,9.3,9.4,1.08,22200.0,208630.0,1
2026-01-01,9.57,9.58,9.38,9.58,0.1,22135.0,211623.25,1
2026-01-04,9.65,9.84,9.65,9.84,1.97,254602.0,2473304.95,1
2026-01-05,9.65,9.78,9.47,9.78,1.35,66049.0,637386.72,1
2026-01-06,9.8,9.85,9.7,9.85,0.51,60380.0,592466.0,1
2026-01-07,9.66,9.68,9.66,9.67,0.1,17106.0,165399.77,1
2026-01-08,9.6,9.6,9.53,9.53,-0.73,4400.0,42060.5,-1
2026-01-12,9.6,9.72,9.5,9.72,1.25,52100.0,504107.5,1
2026-01-13,9.54,9.65,9.54,9.65,1.15,1500.0,14365.0,1
2026-01-14,9.48,9.74,9.48,9.74,2.74,13000.0,126300.0,1
2026-01-18,9.55,9.9,9.53,9.9,3.66,39000.0,376855.0,1
2026-01-20,9.71,9.9,9.55,9.65,-0.62,23700.0,229083.0,-1
2026-01-21,9.55,9.57,9.55,9.57,0.21,710.0,6784.7,1
2026-01-22,9.74,9.76,9.58,9.59,-1.54,30570.0,295518.5,-1
2026-01-25,9.59,9.7,9.56,9.61,0.21,17700.0,170390.0,1
2026-01-26,9.57,9.96,9.57,9.94,3.87,67230.0,656089.4,1
2026-01-27,9.75,9.83,9.71,9.71,-0.41,112350.0,1100855.0,-1
2026-01-28,9.58,9.75,9.58,9.58,0.0,9050.0,86856.5,0
2026-01-29,9.77,9.8,9.7,9.77,0.0,108982.0,1059135.9,0
