published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-03-25,126.00,124.00,124.00,124.00,0.00,20.00,2480.00,0
2011-06-08,124.00,122.00,122.00,122.00,0.00,10.00,1220.00,0
2011-06-23,114.00,113.00,110.00,113.00,0.00,246.00,27269.00,0
2011-06-30,113.00,115.00,115.00,115.00,0.00,10.00,1150.00,0
2011-07-19,115.00,110.00,110.00,110.00,0.00,10.00,1100.00,0
2011-07-20,110.00,108.00,108.00,108.00,0.00,20.00,2160.00,0
2011-07-21,108.00,103.00,103.00,103.00,0.00,20.00,2060.00,0
2011-07-24,103.00,101.00,101.00,101.00,0.00,1232.00,124432.00,0
2011-07-27,101.00,101.00,101.00,101.00,0.00,198.00,19998.00,0
2011-08-01,101.00,101.00,101.00,101.00,0.00,34.00,3434.00,0
2011-08-02,101.00,101.00,99.00,99.00,0.00,62.00,6200.00,0
2011-08-03,99.00,98.00,97.00,97.00,0.00,50.00,4860.00,0
2011-08-04,97.00,96.00,95.00,95.00,0.00,94.00,8954.00,0
2011-08-10,95.00,94.00,94.00,94.00,0.00,10.00,940.00,0
2011-08-11,94.00,93.00,93.00,93.00,0.00,44.00,4092.00,0
2011-09-04,93.00,92.00,91.00,91.00,0.00,31.00,2831.00,0
2011-09-14,91.00,90.00,88.00,88.00,0.00,1534.00,135202.00,0
2011-11-13,88.00,90.00,89.00,90.00,0.00,91.00,8159.00,0
2012-01-08,90.00,89.00,89.00,89.00,0.00,31.00,2759.00,0
2017-06-06,94.00,103.00,95.00,103.00,0.00,200.00,19800.00,0
2017-06-07,103.00,113.00,105.00,113.00,0.00,50.00,5450.00,0
2017-06-08,113.00,124.00,115.00,124.00,0.00,60.00,7190.00,0
2017-06-11,124.00,136.00,126.00,136.00,0.00,100.00,13080.00,0
2017-06-12,136.00,149.00,138.00,149.00,0.00,70.00,10070.00,0
2017-06-13,149.00,163.00,151.00,163.00,0.00,50.00,7850.00,0
2017-06-14,163.00,178.00,162.00,175.00,0.00,9802.00,1645672.00,0
2017-06-15,175.00,192.00,175.00,187.00,0.00,7449.00,1412198.00,0
2017-06-18,187.00,184.00,178.00,178.00,0.00,1000.00,181300.00,0
2017-06-20,178.00,175.00,175.00,175.00,0.00,100.00,17500.00,0
2017-06-21,175.00,172.00,172.00,172.00,0.00,85.00,14620.00,0
2017-06-25,172.00,169.00,155.00,155.00,0.00,11897.00,1913763.00,0
2017-06-27,155.00,155.00,140.00,140.00,0.00,9258.00,1313762.00,0
2017-06-28,140.00,154.00,140.00,154.00,0.00,907.00,131364.00,0
2017-07-02,154.00,151.00,148.00,148.00,0.00,250.00,37450.00,0
2017-07-03,148.00,146.00,144.00,144.00,0.00,400.00,58200.00,0
2017-07-04,144.00,145.00,141.00,141.00,0.00,3958.00,566104.00,0
2017-07-05,141.00,139.00,135.00,135.00,0.00,1265.00,174335.00,0
2017-07-06,135.00,133.00,128.00,128.00,0.00,6164.00,794492.00,0
2017-07-09,128.00,132.00,124.00,132.00,0.00,18330.00,2294500.00,0
2017-07-10,132.00,145.00,134.00,143.00,0.00,6860.00,967110.00,0
2017-07-11,143.00,148.00,144.00,146.00,0.00,650.00,94600.00,0
2017-07-12,146.00,148.00,135.00,148.00,0.00,2447.00,347953.00,0
2017-07-13,148.00,146.00,143.00,143.00,0.00,3166.00,458918.00,0
2017-07-16,143.00,145.00,141.00,141.00,0.00,317.00,45331.00,0
2017-07-17,141.00,147.00,143.00,147.00,0.00,600.00,87000.00,0
2017-07-18,147.00,147.00,140.00,141.00,0.00,2039.00,291260.00,0
2017-07-19,141.00,139.00,139.00,139.00,0.00,300.00,41700.00,0
2017-07-20,139.00,144.00,137.00,144.00,0.00,2550.00,355700.00,0
2017-07-23,144.00,148.00,140.00,140.00,0.00,1420.00,202340.00,0
2017-07-24,140.00,140.00,136.00,136.00,0.00,2378.00,325908.00,0
2017-07-25,136.00,140.00,138.00,140.00,0.00,2372.00,330480.00,0
2017-07-26,140.00,144.00,140.00,142.00,0.00,4180.00,593460.00,0
2017-07-27,142.00,144.00,140.00,140.00,0.00,9514.00,1345948.00,0
2017-07-30,140.00,142.00,142.00,142.00,0.00,100.00,14200.00,0
2017-07-31,142.00,146.00,144.00,146.00,0.00,500.00,72580.00,0
2017-08-01,146.00,144.00,138.00,138.00,0.00,3319.00,467736.00,0
2017-08-02,138.00,151.00,140.00,151.00,0.00,4508.00,648406.00,0
