published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.25,9.4,9.25,9.26,0.11,20400.0,191703.0,1
2025-12-09,9.3,9.39,9.3,9.39,0.97,19320.0,180585.8,1
2025-12-10,9.32,9.35,9.32,9.35,0.32,500.0,4667.0,1
2025-12-11,9.5,9.5,9.35,9.35,-1.58,7942.0,74579.0,-1
2025-12-14,9.35,9.52,9.35,9.52,1.82,2900.0,27481.0,1
2025-12-15,9.35,9.53,9.35,9.35,0.0,5400.0,51390.0,0
2025-12-16,9.35,9.35,9.35,9.35,0.0,1100.0,10285.0,0
2025-12-17,9.35,9.45,9.35,9.38,0.32,6700.0,63190.0,1
2025-12-18,9.37,9.4,9.37,9.38,0.11,12010.0,112839.0,1
2025-12-21,9.37,9.4,9.37,9.38,0.11,2351.0,22053.38,1
2025-12-22,9.38,9.38,9.38,9.38,0.0,600.0,5628.0,0
2025-12-23,9.38,9.5,9.31,9.31,-0.75,800.0,7550.0,-1
