published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.99,10.01,9.99,10.01,0.2,6365.0,63613.65,1
2025-12-09,10.03,10.04,9.9,10.04,0.1,42132.0,420139.03,1
2025-12-10,9.9,10.24,9.9,10.22,3.23,52025.0,528832.7,1
2025-12-11,10.22,10.22,10.22,10.22,0.0,1500.0,15330.0,0
2025-12-14,10.03,10.79,10.03,10.7,6.68,240603.0,2572857.47,1
2025-12-15,10.74,10.74,10.74,10.74,0.0,100.0,1074.0,0
2025-12-16,10.6,10.6,10.6,10.6,0.0,741.0,7854.6,0
2025-12-17,10.39,10.39,10.39,10.39,0.0,1000.0,10390.0,0
2025-12-18,10.35,10.35,10.25,10.25,-0.97,14380.0,147954.0,-1
2025-12-21,10.27,10.3,10.23,10.23,-0.39,19100.0,195710.0,-1
2025-12-22,10.27,10.27,10.27,10.27,0.0,1200.0,12324.0,0
2025-12-23,10.25,10.25,10.25,10.25,0.0,5000.0,51250.0,0
2025-12-24,10.3,10.3,10.25,10.25,-0.49,3652.0,37474.8,-1
2025-12-28,10.21,10.21,10.21,10.21,0.0,2538.0,25912.98,0
2025-12-29,10.25,10.25,10.25,10.25,0.0,100.0,1025.0,0
2025-12-31,10.45,10.45,10.21,10.21,-2.3,14822.0,152440.62,-1
2026-01-01,10.39,10.39,10.3,10.3,-0.87,1888.0,19491.4,-1
2026-01-04,10.25,10.25,10.21,10.21,-0.39,2000.0,20428.0,-1
2026-01-05,10.39,10.39,10.39,10.39,0.0,500.0,5195.0,0
2026-01-06,10.35,10.35,10.24,10.25,-0.97,1510.0,15546.5,-1
2026-01-07,10.41,10.41,10.24,10.24,-1.63,4135.0,42852.4,-1
2026-01-08,10.21,10.39,10.21,10.23,0.2,7550.0,77622.5,1
2026-01-12,10.3,10.3,10.25,10.25,-0.49,5700.0,58610.0,-1
2026-01-13,10.25,10.25,10.25,10.25,0.0,100.0,1025.0,0
2026-01-18,10.25,10.39,10.25,10.39,1.37,3620.0,37574.8,1
2026-01-20,10.39,10.39,10.23,10.39,0.0,3103.0,32149.17,0
2026-01-21,10.38,10.38,10.25,10.25,-1.25,1572.0,16252.36,-1
2026-01-22,10.25,10.41,10.25,10.41,1.56,18196.0,188319.36,1
