published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,395.0,400.0,386.0,386.0,-2.28,24061.0,9447013.4,-1
2025-12-09,386.0,421.0,348.0,419.8,8.76,81309.0,33233418.5,1
2025-12-10,419.8,420.0,389.0,408.0,-2.81,28095.0,11651126.6,-1
2025-12-11,415.0,419.5,410.0,415.0,0.0,84463.0,35017376.8,0
2025-12-14,411.0,418.0,396.0,398.0,-3.16,26834.0,10807066.8,-1
2025-12-15,393.3,433.0,391.2,433.0,10.09,66216.0,26665274.6,1
2025-12-16,424.4,424.4,400.0,415.0,-2.21,18244.0,7541259.2,-1
2025-12-17,407.8,413.0,405.0,407.0,-0.2,16191.0,6594307.7,-1
2025-12-18,412.0,412.0,401.3,406.0,-1.46,23822.0,9678777.2,-1
2025-12-21,400.0,401.0,391.0,393.0,-1.75,21450.0,8462196.8,-1
2025-12-22,389.0,399.0,385.6,392.9,1.0,17352.0,6788433.6,1
2025-12-23,388.9,406.0,388.9,403.0,3.63,19511.0,7803634.7,1
2025-12-24,395.1,409.0,388.1,394.0,-0.28,17500.0,6886537.5,-1
2025-12-28,401.0,409.0,395.0,400.0,-0.25,37276.0,14959357.1,-1
2025-12-29,408.0,408.0,388.1,388.1,-4.88,35778.0,14131168.6,-1
2025-12-31,395.8,411.0,386.0,391.1,-1.19,84474.0,33314901.0,-1
2026-01-01,395.0,429.0,388.0,390.0,-1.27,74194.0,29166745.0,-1
2026-01-04,385.1,393.0,378.0,380.2,-1.27,34605.0,13196238.6,-1
2026-01-05,387.8,395.0,381.0,384.8,-0.77,29506.0,11364200.2,-1
2026-01-06,390.0,390.0,376.2,380.0,-2.56,27765.0,10612635.5,-1
2026-01-07,387.6,409.0,373.0,375.0,-3.25,17366.0,6562219.5,-1
2026-01-08,382.2,406.0,370.0,373.1,-2.38,37229.0,14086851.0,-1
2026-01-12,370.1,380.0,365.0,369.9,-0.05,35107.0,12981673.4,-1
2026-01-13,367.0,382.7,361.0,370.0,0.82,32242.0,12005060.2,1
2026-01-14,377.0,390.5,375.0,375.5,-0.4,44509.0,16990166.2,-1
2026-01-18,370.3,382.0,370.3,377.0,1.81,16893.0,6402486.5,1
2026-01-20,371.1,402.5,371.1,394.7,6.36,49092.0,19233185.5,1
2026-01-21,391.0,398.0,385.2,385.6,-1.38,33933.0,13249898.6,-1
2026-01-22,380.0,401.0,380.0,393.0,3.42,28406.0,11085592.7,1
2026-01-25,397.0,415.0,395.0,413.0,4.03,109144.0,44496881.5,1
2026-01-26,418.5,451.0,411.6,440.1,5.16,262575.0,113442232.4,1
2026-01-27,443.0,448.0,417.1,427.5,-3.5,89220.0,38323016.9,-1
2026-01-28,427.6,433.5,417.0,420.0,-1.78,55518.0,23554603.7,-1
2026-01-29,411.6,462.0,411.6,433.0,5.2,148789.0,65618286.9,1
2026-02-01,424.4,446.0,424.4,432.0,1.79,87514.0,38137729.0,1
2026-02-02,423.4,474.0,423.4,429.1,1.35,152142.0,66358523.6,1
2026-02-03,420.6,429.0,410.0,418.1,-0.59,60245.0,25045484.6,-1
2026-02-04,409.8,434.0,407.0,422.9,3.2,60514.0,25159614.9,1
2026-02-05,414.5,428.0,413.0,415.0,0.12,38824.0,16156924.6,1
2026-02-08,406.7,423.3,403.1,405.0,-0.42,44947.0,18427921.1,-1
2026-02-09,407.0,429.8,400.2,414.9,1.94,186317.0,78599263.2,1
2026-02-10,421.0,437.0,419.0,424.0,0.71,213155.0,91340818.1,1
2026-02-11,430.9,430.9,408.3,411.0,-4.62,27422.0,11350252.7,-1
2026-02-12,407.5,420.0,407.0,410.0,0.61,42400.0,17456032.2,1
2026-02-16,418.2,418.3,393.1,404.9,-3.18,46424.0,18644657.3,-1
2026-02-17,401.1,401.1,390.0,392.1,-2.24,43608.0,17182177.9,-1
2026-02-22,387.0,389.0,380.0,381.0,-1.55,33026.0,12625928.0,-1
2026-02-23,376.3,388.6,375.0,377.2,0.24,31341.0,11896017.7,1
2026-02-24,377.2,403.0,377.2,400.0,6.04,26003.0,10192614.8,1
2026-02-25,392.5,408.0,392.5,400.0,1.91,19529.0,7766669.7,1
2026-02-26,394.0,405.0,392.0,399.7,1.45,18157.0,7217107.6,1
2026-03-01,392.0,397.8,384.3,396.0,1.02,14816.0,5844972.9,1
2026-03-03,391.2,403.9,391.2,400.5,2.38,17106.0,6820008.5,1
2026-03-09,400.5,440.2,400.5,440.0,9.86,2558.0,1096717.6,1
2026-03-10,440.0,440.0,407.3,421.0,-4.32,79102.0,33258178.7,-1
2026-03-11,429.0,429.0,412.0,414.0,-3.5,38948.0,16158522.4,-1
2026-03-12,408.1,435.0,408.1,414.1,1.47,61095.0,25667361.7,1
2026-03-15,417.0,422.0,410.7,415.0,-0.48,26313.0,10949238.6,-1
2026-03-16,415.0,420.0,409.9,410.0,-1.2,26130.0,10858770.4,-1
2026-03-17,410.0,418.0,410.0,416.0,1.46,33655.0,13922138.3,1
2026-03-19,407.9,430.0,407.9,418.0,2.48,78152.0,32844302.9,1
2026-03-22,425.0,426.0,407.1,414.9,-2.38,54018.0,22352649.0,-1
2026-03-23,406.7,425.0,406.7,425.0,4.5,61253.0,25573380.8,1
2026-03-24,416.5,447.7,416.5,445.0,6.84,323279.0,141616701.2,1
2026-03-25,445.0,462.0,440.0,445.0,0.0,174284.0,78872836.9,0
2026-03-26,440.0,455.0,436.1,455.0,3.41,69567.0,31052138.1,1
2026-03-29,464.1,464.1,430.0,437.9,-5.65,119697.0,52963366.0,-1
2026-03-30,430.0,437.0,420.0,427.0,-0.7,40806.0,17526629.5,-1
2026-03-31,418.6,425.5,412.0,423.0,1.05,39121.0,16426111.4,1
2026-04-01,417.0,420.0,403.1,417.0,0.0,40475.0,16581575.8,0
