published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,572.2,579.0,570.0,572.8,0.1,79174.0,45423603.8,1
2025-12-09,575.0,578.7,570.5,576.2,0.21,140016.0,80211418.0,1
2025-12-10,576.2,577.9,570.2,574.9,-0.23,103091.0,59302963.2,-1
2025-12-11,573.5,584.0,570.2,582.1,1.5,135523.0,78406489.5,1
2025-12-14,586.0,587.9,578.0,580.0,-1.02,135736.0,78930547.7,-1
2025-12-15,580.0,584.0,576.1,580.0,0.0,71431.0,41496489.5,0
2025-12-16,581.0,585.9,576.0,583.9,0.5,88046.0,51305073.3,1
2025-12-17,589.0,589.0,582.3,587.0,-0.34,69420.0,40661253.3,-1
2025-12-18,587.0,587.0,578.1,581.0,-1.02,105078.0,61155922.2,-1
2025-12-21,569.4,582.7,569.4,582.7,2.34,84147.0,48669001.8,1
2025-12-22,579.0,582.0,575.0,577.0,-0.35,83492.0,48222793.3,-1
2025-12-23,577.0,580.0,570.0,577.0,0.0,89937.0,51765626.3,0
2025-12-24,575.0,583.0,572.0,575.0,0.0,77009.0,44355557.2,0
2025-12-28,580.0,601.0,575.1,599.9,3.43,288886.0,171325761.4,1
2025-12-29,603.0,604.0,593.9,599.9,-0.51,227658.0,136367219.7,-1
2025-12-31,599.9,610.2,590.0,608.0,1.35,204930.0,124389899.5,1
2026-01-01,614.0,614.0,598.0,607.5,-1.06,229077.0,138063631.1,-1
2026-01-04,596.3,605.0,596.3,605.0,1.46,165296.0,99497686.5,1
2026-01-05,605.0,630.0,600.0,628.8,3.93,622840.0,386950347.3,1
2026-01-06,630.0,639.9,621.1,623.0,-1.11,373304.0,234705802.6,-1
2026-01-07,620.0,626.0,613.6,617.5,-0.4,260554.0,161022176.9,-1
2026-01-08,618.0,625.0,610.7,625.0,1.13,241681.0,148926997.6,1
2026-01-12,621.2,639.0,619.0,620.8,-0.06,391092.0,245884371.5,-1
2026-01-13,620.8,626.3,618.0,619.0,-0.29,273911.0,170167064.5,-1
2026-01-14,624.7,624.9,615.0,615.0,-1.55,165940.0,102789091.2,-1
2026-01-18,622.9,632.0,616.0,624.0,0.18,221954.0,138745356.8,1
2026-01-20,636.4,637.7,625.0,629.6,-1.07,338399.0,213825170.1,-1
2026-01-21,630.0,636.0,620.0,620.6,-1.49,200183.0,125277857.1,-1
2026-01-22,621.5,627.0,615.0,625.0,0.56,248358.0,154130578.3,1
2026-01-25,627.0,648.0,626.0,643.0,2.55,500453.0,320060025.1,1
2026-01-26,650.0,650.0,630.1,632.1,-2.75,370914.0,236141506.3,-1
2026-01-27,632.2,640.0,620.0,621.1,-1.76,360901.0,226747249.9,-1
2026-01-28,629.0,629.0,615.0,622.5,-1.03,291115.0,180356565.6,-1
2026-01-29,624.0,628.3,616.1,618.9,-0.82,204191.0,126906769.5,-1
