published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,645.0,645.0,622.0,630.0,-2.33,5095.0,3207652.5,-1
2025-12-09,622.0,644.5,622.0,633.5,1.85,3238.0,2049840.8,1
2025-12-10,629.0,640.0,629.0,632.0,0.48,3581.0,2259404.6,1
2025-12-11,632.0,635.0,628.0,628.0,-0.63,11660.0,7343454.8,-1
2025-12-14,625.0,633.0,624.3,625.0,0.0,6367.0,3986290.0,0
2025-12-15,621.0,636.0,621.0,633.0,1.93,7407.0,4671231.2,1
2025-12-16,644.0,645.0,634.0,645.0,0.16,4566.0,2921480.5,1
2025-12-17,644.5,644.5,632.1,637.1,-1.15,11698.0,7459406.3,-1
2025-12-18,643.0,645.7,638.3,639.0,-0.62,12050.0,7743989.5,-1
2025-12-21,642.0,645.0,630.0,635.0,-1.09,4487.0,2841757.2,-1
2025-12-22,635.0,638.0,632.0,637.5,0.39,2234.0,1417276.3,1
2025-12-23,630.0,640.5,626.0,635.0,0.79,3252.0,2058147.2,1
2025-12-24,635.0,640.0,626.0,635.0,0.0,13292.0,8413293.4,0
2025-12-28,642.0,652.2,637.2,651.9,1.54,20024.0,12929839.2,1
2025-12-29,626.9,630.0,624.0,626.5,-0.06,12047.0,7550170.2,-1
2025-12-31,630.0,638.0,628.0,630.0,0.0,4902.0,3092173.4,0
2026-01-01,630.0,634.0,630.0,631.0,0.16,5873.0,3701838.9,1
2026-01-04,631.0,635.0,623.0,630.2,-0.13,5936.0,3724493.0,-1
2026-01-05,630.2,632.9,624.0,630.0,-0.03,8038.0,5052433.4,-1
2026-01-06,642.0,652.0,631.0,632.0,-1.56,2411.0,1534310.3,-1
2026-01-07,641.0,641.0,626.0,626.0,-2.34,13460.0,8480132.2,-1
2026-01-08,635.0,637.8,625.2,632.0,-0.47,6353.0,4021815.5,-1
2026-01-12,625.0,635.0,624.0,625.2,0.03,8058.0,5045020.4,1
2026-01-13,627.0,627.0,624.5,625.5,-0.24,6425.0,4016256.0,-1
2026-01-14,625.0,635.0,622.8,626.1,0.18,2726.0,1707397.4,1
2026-01-18,628.0,634.2,628.0,630.0,0.32,4231.0,2662244.5,1
2026-01-20,642.5,645.0,631.2,642.9,0.06,16280.0,10449144.1,1
2026-01-21,651.0,651.0,638.0,640.0,-1.69,9997.0,6416217.0,-1
2026-01-22,636.0,640.0,633.0,638.6,0.41,6524.0,4152321.5,1
