published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2012-02-14,170.00,171.00,167.00,167.00,0.00,847.00,142620.00,0
2012-02-15,167.00,168.00,168.00,168.00,0.00,160.00,26880.00,0
2012-02-23,168.00,165.00,165.00,165.00,0.00,17.00,2805.00,0
2012-02-26,165.00,162.00,162.00,162.00,0.00,70.00,11340.00,0
2012-02-27,162.00,168.00,165.00,168.00,0.00,120.00,19920.00,0
2012-03-04,168.00,168.00,165.00,165.00,0.00,342.00,56991.00,0
2012-03-12,165.00,168.00,168.00,168.00,0.00,413.00,69384.00,0
2012-03-13,168.00,170.00,170.00,170.00,0.00,400.00,68000.00,0
2012-03-14,170.00,170.00,170.00,170.00,0.00,27.00,4590.00,0
2012-03-18,170.00,168.00,168.00,168.00,0.00,80.00,13440.00,0
2012-03-19,168.00,169.00,167.00,167.00,0.00,161.00,26941.00,0
2012-03-20,167.00,168.00,167.00,168.00,0.00,180.00,30160.00,0
2012-03-21,168.00,168.00,165.00,165.00,0.00,418.00,70044.00,0
2012-03-25,165.00,171.00,168.00,171.00,0.00,290.00,49020.00,0
2012-03-27,171.00,168.00,168.00,168.00,0.00,63.00,10584.00,0
2012-03-28,168.00,168.00,166.00,168.00,0.00,536.00,90018.00,0
2012-04-01,168.00,170.00,170.00,170.00,0.00,200.00,34000.00,0
2012-04-02,170.00,168.00,165.00,168.00,0.00,300.00,50301.00,0
2012-04-03,168.00,168.00,168.00,168.00,0.00,120.00,20160.00,0
2012-04-04,168.00,169.00,168.00,168.00,0.00,754.00,126992.00,0
2012-04-10,168.00,168.00,168.00,168.00,0.00,40.00,6720.00,0
2012-04-19,168.00,171.00,171.00,171.00,0.00,1132.00,193572.00,0
2012-04-24,171.00,174.00,174.00,174.00,0.00,1735.00,301890.00,0
2012-04-26,174.00,183.00,177.00,183.00,0.00,1988.00,363714.00,0
2012-05-02,183.00,183.00,183.00,183.00,0.00,53.00,9699.00,0
2012-05-10,183.00,189.00,186.00,189.00,0.00,22.00,4128.00,0
2012-05-13,189.00,186.00,186.00,186.00,0.00,80.00,14880.00,0
