published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.4,9.4,9.37,9.39,-0.11,500.0,4693.0,-1
2025-12-09,9.41,9.45,9.37,9.45,0.43,39100.0,367040.0,1
2025-12-10,9.4,9.55,9.4,9.4,0.0,73692.0,698324.75,0
2025-12-11,9.42,9.52,9.36,9.36,-0.64,31350.0,295187.0,-1
2025-12-14,9.45,9.54,9.41,9.5,0.53,22100.0,209907.0,1
2025-12-15,9.4,9.61,9.4,9.61,2.23,2940.0,28113.3,1
2025-12-16,9.8,9.8,9.43,9.5,-3.06,5900.0,56388.0,-1
2025-12-17,9.45,9.55,9.45,9.55,1.06,700.0,6628.0,1
2025-12-18,9.45,9.6,9.45,9.52,0.74,16300.0,156437.0,1
2025-12-21,9.5,9.63,9.5,9.51,0.11,126150.0,1210079.0,1
2025-12-22,9.51,9.61,9.5,9.61,1.05,49390.0,473696.2,1
2025-12-23,9.7,9.8,9.5,9.72,0.21,23700.0,231317.0,1
2025-12-24,9.7,9.85,9.67,9.8,1.03,11540.0,113518.6,1
2025-12-28,9.8,10.12,9.8,9.87,0.71,36200.0,361370.0,1
2025-12-29,9.86,10.06,9.86,9.86,0.0,8600.0,86355.0,0
2025-12-31,9.87,9.87,9.87,9.87,0.0,200.0,1974.0,0
2026-01-01,10.06,10.26,10.0,10.26,1.99,30900.0,312779.5,1
2026-01-04,10.06,10.22,10.06,10.06,0.0,5800.0,59165.0,0
2026-01-05,10.24,10.24,10.06,10.22,-0.2,79500.0,809503.0,-1
2026-01-06,10.06,10.06,10.06,10.06,0.0,24100.0,242446.0,0
2026-01-07,10.06,10.24,10.06,10.2,1.39,34600.0,352831.0,1
2026-01-08,10.08,10.08,10.02,10.02,-0.6,13700.0,137784.0,-1
2026-01-12,9.85,10.22,9.85,10.02,1.73,3100.0,31474.0,1
2026-01-13,10.02,10.14,10.0,10.14,1.2,20100.0,201507.0,1
2026-01-14,10.01,10.01,10.01,10.01,0.0,500.0,5005.0,0
2026-01-18,10.21,10.21,10.01,10.21,0.0,7600.0,77392.0,0
2026-01-20,10.37,10.4,10.26,10.26,-1.06,14900.0,154757.0,-1
2026-01-21,10.27,10.3,10.2,10.25,-0.19,15600.0,160345.0,-1
2026-01-22,10.15,10.15,10.15,10.15,0.0,1500.0,15225.0,0
2026-01-25,10.0,10.02,10.0,10.02,0.2,700.0,7004.0,1
2026-01-26,10.0,10.2,10.0,10.2,2.0,4400.0,44660.0,1
2026-01-27,10.01,10.22,10.01,10.22,2.1,926.0,9401.2,1
