published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,572.0,579.0,561.4,564.5,-1.31,23767.0,13486614.3,-1
2025-12-09,562.0,569.9,561.5,566.0,0.71,11943.0,6767752.1,1
2025-12-10,566.0,577.0,560.1,564.4,-0.28,10367.0,5863601.0,-1
2025-12-11,561.7,561.7,555.0,557.0,-0.84,25269.0,14094711.1,-1
2025-12-14,557.0,564.8,544.0,545.0,-2.15,26294.0,14448743.5,-1
2025-12-15,550.7,554.9,540.0,543.0,-1.4,16052.0,8726840.2,-1
2025-12-16,543.0,548.0,542.0,545.0,0.37,16154.0,8800539.1,1
2025-12-17,545.2,559.0,545.2,549.8,0.84,16781.0,9209075.5,1
2025-12-18,547.0,568.0,547.0,565.0,3.29,37047.0,20645095.8,1
2025-12-21,565.0,565.9,555.0,556.9,-1.43,17457.0,9776552.4,-1
2025-12-22,551.0,562.0,550.1,554.0,0.54,11015.0,6085286.1,1
2025-12-23,545.0,557.0,545.0,556.7,2.15,25948.0,14396147.0,1
2025-12-24,552.0,559.0,550.0,555.0,0.54,8633.0,4776102.6,1
2025-12-28,555.1,571.9,555.1,571.9,3.03,37384.0,21156316.7,1
2025-12-29,579.0,579.0,569.0,572.9,-1.05,11559.0,6629683.8,-1
2025-12-31,567.3,578.0,567.3,571.0,0.65,16337.0,9345295.1,1
2026-01-01,560.0,574.8,560.0,568.0,1.43,12938.0,7376361.7,1
2026-01-04,560.0,576.0,560.0,564.5,0.8,21671.0,12239644.4,1
2026-01-05,557.2,585.4,557.2,585.4,5.06,40377.0,23245431.5,1
2026-01-06,591.0,600.0,578.7,589.0,-0.34,118959.0,69837454.2,-1
2026-01-07,581.0,591.0,579.0,583.0,0.34,55277.0,32281228.8,1
2026-01-08,590.0,594.6,581.0,587.9,-0.36,40710.0,23835751.3,-1
2026-01-12,583.1,619.0,583.1,619.0,6.16,75960.0,45532764.2,1
2026-01-13,631.3,655.0,619.5,646.0,2.33,134696.0,86967516.4,1
2026-01-14,657.9,670.0,633.1,647.0,-1.66,83135.0,54422165.6,-1
2026-01-18,655.0,657.0,627.0,635.0,-3.05,86205.0,54844614.8,-1
2026-01-20,647.7,647.7,625.0,626.1,-3.33,77119.0,48734851.6,-1
2026-01-21,630.0,635.0,618.0,621.0,-1.43,31304.0,19528475.7,-1
2026-01-22,617.0,633.0,617.0,627.8,1.75,46001.0,28873163.5,1
2026-01-25,620.0,648.0,620.0,640.0,3.23,88915.0,56967303.2,1
2026-01-26,644.0,644.0,630.0,630.5,-2.1,59007.0,37523036.3,-1
2026-01-27,642.0,647.8,620.0,622.0,-3.12,46299.0,29236211.4,-1
2026-01-28,620.0,635.0,620.0,631.1,1.79,25194.0,15821350.5,1
2026-01-29,631.0,640.0,625.0,625.1,-0.94,23612.0,14928993.2,-1
2026-02-01,630.0,637.6,610.0,614.1,-2.52,24762.0,15354065.6,-1
