published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,906.1,915.0,902.3,903.7,-0.26,10136.0,9201311.0,-1
2025-12-09,900.6,908.7,900.6,902.1,0.17,5024.0,4536825.8,1
2025-12-10,903.0,909.0,900.0,903.0,0.0,8932.0,8067306.7,0
2025-12-11,890.0,905.0,890.0,898.0,0.9,4507.0,4055602.9,1
2025-12-14,891.0,901.0,891.0,895.1,0.46,8121.0,7274925.6,1
2025-12-15,890.0,900.0,885.0,900.0,1.12,13198.0,11749290.0,1
2025-12-16,900.0,928.0,896.3,928.0,3.11,17223.0,15770349.9,1
2025-12-17,928.0,936.0,910.0,935.5,0.81,19044.0,17722532.1,1
2025-12-18,917.2,932.9,912.0,930.0,1.4,18595.0,17152387.5,1
2025-12-21,930.0,944.9,920.1,924.0,-0.65,26736.0,24894336.9,-1
2025-12-22,940.0,940.0,915.1,924.9,-1.61,10268.0,9456300.3,-1
2025-12-23,936.0,936.0,914.0,920.0,-1.71,8804.0,8077169.1,-1
2025-12-24,920.0,935.0,920.0,920.0,0.0,13668.0,12623600.5,0
2025-12-28,938.4,960.0,920.0,953.0,1.56,61429.0,57921828.6,1
2025-12-29,959.0,959.0,931.5,931.5,-2.87,25168.0,23646383.8,-1
2025-12-31,948.4,949.9,935.0,947.6,-0.08,27236.0,25662154.5,-1
2026-01-01,950.0,951.0,939.0,946.0,-0.42,44479.0,41927836.0,-1
2026-01-04,843.5,844.0,828.1,842.0,-0.18,11203.0,9352489.1,-1
2026-01-05,840.0,840.0,815.0,834.8,-0.62,11561.0,9571040.9,-1
2026-01-06,840.0,847.0,826.0,826.4,-1.62,6170.0,5135108.2,-1
2026-01-07,838.0,838.0,822.5,823.2,-1.77,2874.0,2369085.2,-1
2026-01-08,824.0,837.0,823.2,825.2,0.15,7262.0,6019133.9,1
2026-01-12,824.0,835.8,820.8,824.9,0.11,3388.0,2791219.1,1
2026-01-13,821.0,825.0,818.2,818.5,-0.3,5041.0,4135260.3,-1
2026-01-14,819.9,820.0,815.1,817.1,-0.34,6207.0,5076271.3,-1
2026-01-18,827.9,840.0,822.1,839.5,1.4,8658.0,7233689.2,1
2026-01-20,844.8,852.0,840.0,848.0,0.38,14202.0,12022567.4,1
2026-01-21,835.1,857.9,835.1,845.0,1.19,13025.0,11014070.9,1
2026-01-22,846.0,849.0,832.6,836.6,-1.11,4459.0,3734476.3,-1
2026-01-25,833.0,857.8,833.0,854.0,2.52,23616.0,20059622.6,1
2026-01-26,865.0,865.0,848.1,852.0,-1.5,12931.0,11030426.4,-1
2026-01-27,840.0,856.0,830.0,846.0,0.71,11669.0,9821088.1,1
2026-01-28,833.1,849.7,833.1,835.0,0.23,3394.0,2834700.8,1
2026-01-29,850.0,850.0,828.0,838.0,-1.41,10337.0,8600750.2,-1
2026-02-01,830.0,835.0,823.1,830.0,0.0,4926.0,4075331.3,0
2026-02-02,842.0,846.5,821.1,828.8,-1.57,9893.0,8185483.3,-1
2026-02-03,838.8,838.8,818.5,822.0,-2.0,8756.0,7226545.7,-1
2026-02-04,825.0,833.0,821.0,823.0,-0.24,3252.0,2677206.9,-1
2026-02-05,823.0,830.0,818.3,823.0,0.0,7126.0,5888393.1,0
2026-02-08,834.0,834.0,818.0,823.9,-1.21,13072.0,10732661.2,-1
2026-02-09,820.0,831.8,815.5,819.9,-0.01,11475.0,9379102.5,-1
2026-02-10,819.0,820.0,812.7,813.5,-0.67,6651.0,5412930.4,-1
2026-02-11,824.9,824.9,813.0,818.3,-0.8,5555.0,4538736.9,-1
2026-02-12,818.3,825.0,815.0,824.0,0.7,7968.0,6531207.0,1
2026-02-16,824.0,836.0,815.0,823.0,-0.12,1965.0,1613270.9,-1
2026-02-17,823.0,823.0,810.0,817.0,-0.73,16586.0,13493869.1,-1
2026-02-22,810.0,813.9,800.0,813.9,0.48,5824.0,4695383.9,1
2026-02-23,828.8,828.8,805.5,810.0,-2.27,2227.0,1803507.4,-1
2026-02-24,806.0,813.8,806.0,813.0,0.87,2180.0,1769277.8,1
2026-02-25,813.0,819.0,812.0,817.0,0.49,1391.0,1133085.5,1
2026-02-26,824.8,824.8,815.7,816.6,-0.99,3295.0,2695782.1,-1
2026-03-01,816.6,820.0,812.0,819.0,0.29,4910.0,4014994.7,1
2026-03-03,818.0,839.9,818.0,839.9,2.68,12082.0,9994915.1,1
2026-03-09,856.6,891.1,856.6,891.1,4.03,240.0,206445.0,1
2026-03-10,890.0,897.0,850.0,886.5,-0.39,19353.0,16822355.4,-1
2026-03-11,869.0,890.0,852.4,861.1,-0.91,8365.0,7238148.2,-1
2026-03-12,846.2,872.0,846.2,864.0,2.1,5211.0,4504457.2,1
2026-03-15,871.0,872.0,855.2,869.0,-0.23,7589.0,6574716.7,-1
2026-03-16,856.1,873.0,856.1,856.2,0.01,11296.0,9698752.8,1
2026-03-17,853.1,856.0,838.6,838.7,-1.69,17214.0,14599454.6,-1
2026-03-19,850.0,862.0,843.2,859.0,1.06,18156.0,15514083.0,1
2026-03-22,876.1,901.0,850.1,884.0,0.9,64658.0,57198682.7,1
2026-03-23,896.0,896.0,879.0,882.0,-1.56,15106.0,13397623.0,-1
2026-03-24,895.0,912.9,885.0,885.0,-1.12,22420.0,20024014.3,-1
2026-03-25,890.0,895.0,868.0,872.0,-2.02,11617.0,10149613.4,-1
2026-03-26,888.0,888.0,868.3,874.0,-1.58,14507.0,12705844.5,-1
2026-03-29,891.4,891.4,850.0,853.9,-4.21,26775.0,22941667.9,-1
2026-03-30,852.0,858.0,841.0,842.0,-1.17,12281.0,10428073.7,-1
2026-03-31,842.0,846.9,833.0,843.0,0.12,7071.0,5926820.1,1
2026-04-01,831.2,840.0,815.0,828.9,-0.28,14219.0,11774193.0,-1
2026-04-02,815.0,829.0,815.0,823.0,0.98,7908.0,6517038.8,1
2026-04-05,812.0,817.0,800.0,802.1,-1.22,17573.0,14157081.9,-1
2026-04-06,810.0,835.0,806.6,828.0,2.22,15152.0,12433774.2,1
2026-04-07,820.5,835.9,820.5,821.2,0.09,4905.0,4042139.0,1
2026-04-08,822.0,832.5,818.0,829.9,0.96,7760.0,6407768.2,1
2026-04-09,829.0,842.9,822.0,840.0,1.33,7085.0,5906851.0,1
2026-04-10,830.0,840.0,825.1,831.0,0.12,5150.0,4296004.4,1
2026-04-13,816.3,847.0,816.3,832.2,1.95,4029.0,3363568.4,1
2026-04-15,848.0,848.0,834.0,840.0,-0.94,5057.0,4230951.9,-1
2026-04-16,827.0,838.0,826.4,835.9,1.08,4692.0,3890367.0,1
2026-04-17,830.0,830.0,823.0,829.0,-0.12,3835.0,3170146.8,-1
2026-04-20,829.0,849.0,824.0,826.0,-0.36,2313.0,1910370.1,-1
2026-04-21,826.0,832.0,815.0,820.5,-0.67,8808.0,7210957.1,-1
2026-04-22,810.5,827.5,810.0,822.2,1.44,4486.0,3663172.1,1
2026-04-23,815.0,825.0,805.5,820.0,0.61,11877.0,9628450.7,1
2026-04-24,861.0,861.0,806.0,810.0,-5.92,1618.0,1314428.8,-1
2026-04-27,845.0,845.0,808.0,813.2,-3.76,4207.0,3425842.2,-1
2026-04-28,813.2,818.9,810.5,813.9,0.09,4097.0,3336347.7,1
2026-04-29,813.9,818.0,810.0,815.0,0.14,4355.0,3552588.7,1
2026-04-30,816.0,818.0,805.0,810.0,-0.74,2270.0,1835155.1,-1
2026-05-04,850.0,850.0,808.1,810.0,-4.71,7409.0,6063968.7,-1
2026-05-05,801.2,820.0,801.1,813.5,1.54,2475.0,2013527.6,1
2026-05-06,810.0,819.0,809.0,818.9,1.1,4300.0,3489789.4,1
2026-05-07,815.0,822.9,815.0,817.0,0.25,5988.0,4901163.4,1
2026-05-08,825.9,825.9,815.0,822.0,-0.47,8547.0,7010678.7,-1
2026-05-11,822.0,836.5,820.0,832.9,1.33,2284.0,1890816.7,1
2026-05-12,832.9,837.0,823.0,825.0,-0.95,3531.0,2935458.1,-1
2026-05-13,825.0,836.9,819.0,819.7,-0.64,6553.0,5377699.1,-1
2026-05-14,817.1,830.0,816.0,816.1,-0.12,3812.0,3123295.1,-1
2026-05-15,816.6,825.0,816.0,817.0,0.05,3084.0,2519624.0,1
2026-05-18,815.0,824.9,814.0,819.8,0.59,2406.0,1964897.2,1
2026-05-19,828.0,828.0,815.1,823.9,-0.5,2640.0,2166275.8,-1
2026-05-20,816.1,826.0,816.1,820.0,0.48,4508.0,3695389.1,1
2026-05-21,822.0,823.0,815.0,817.2,-0.58,4343.0,3552117.5,-1
2026-05-22,820.0,822.7,817.2,822.7,0.33,2539.0,2082336.7,1
2026-05-25,825.0,836.4,821.1,831.5,0.79,6640.0,5520628.8,1
2026-05-26,838.0,838.0,823.0,826.9,-1.32,2886.0,2386510.4,-1
2026-05-27,826.9,834.5,823.1,833.9,0.85,2191.0,1820394.0,1
2026-06-01,830.0,835.0,815.0,816.0,-1.69,7545.0,6177220.4,-1
2026-06-02,817.0,827.0,816.0,821.8,0.59,2975.0,2442853.2,1
2026-06-03,828.9,833.0,817.0,832.0,0.37,5417.0,4494050.5,1
2026-06-04,820.2,834.0,820.2,830.0,1.19,4804.0,3973378.3,1
2026-06-05,817.0,835.0,817.0,830.0,1.59,6521.0,5392224.7,1
