published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1296.1,1309.0,1296.1,1300.1,0.31,1407.0,1829947.4,1
2025-12-09,1300.0,1314.0,1300.0,1307.0,0.54,1636.0,2138969.1,1
2025-12-10,1302.0,1318.0,1300.0,1318.0,1.23,1267.0,1656848.6,1
2025-12-11,1292.0,1325.0,1292.0,1325.0,2.55,2963.0,3896462.8,1
2025-12-14,1325.0,1336.8,1310.5,1318.0,-0.53,857.0,1126658.4,-1
2025-12-15,1318.0,1318.0,1300.0,1312.0,-0.46,2654.0,3470908.1,-1
2025-12-16,1312.0,1312.0,1295.0,1308.0,-0.3,1976.0,2576036.2,-1
2025-12-17,1300.0,1310.0,1300.0,1301.0,0.08,991.0,1291698.4,1
2025-12-18,1300.0,1300.0,1285.2,1292.0,-0.62,1748.0,2264283.8,-1
2025-12-21,1292.0,1304.0,1282.0,1293.0,0.08,1113.0,1435582.6,1
2025-12-22,1290.0,1293.0,1276.1,1293.0,0.23,884.0,1132957.7,1
2025-12-23,1295.0,1298.0,1295.0,1298.0,0.23,803.0,1040785.4,1
2025-12-24,1280.0,1335.1,1280.0,1303.2,1.81,1700.0,2240910.0,1
2025-12-28,1303.2,1344.9,1303.2,1329.7,2.03,2033.0,2684187.8,1
2025-12-29,1329.7,1329.7,1306.0,1324.9,-0.36,985.0,1288549.9,-1
2025-12-31,1300.6,1330.0,1300.5,1320.0,1.49,1756.0,2302116.6,1
2026-01-01,1300.0,1300.0,1275.0,1292.0,-0.62,857.0,1111011.0,-1
2026-01-04,1292.0,1300.0,1280.7,1282.3,-0.75,1579.0,2035762.4,-1
2026-01-05,1300.0,1300.0,1282.0,1300.0,0.0,1860.0,2403708.2,0
2026-01-06,1326.0,1326.0,1287.1,1304.0,-1.66,2593.0,3358529.4,-1
2026-01-07,1308.0,1317.8,1287.9,1307.0,-0.08,3747.0,4907146.3,-1
2026-01-08,1307.0,1307.9,1284.1,1307.0,0.0,2277.0,2940381.2,0
2026-01-12,1308.0,1308.0,1286.0,1300.0,-0.61,1738.0,2240384.6,-1
2026-01-13,1300.0,1300.0,1280.0,1284.0,-1.23,910.0,1167849.6,-1
2026-01-14,1285.1,1285.1,1275.0,1279.0,-0.47,1571.0,2009427.4,-1
2026-01-18,1304.5,1320.0,1283.1,1319.9,1.18,4220.0,5504156.4,1
2026-01-20,1346.0,1400.0,1325.1,1376.0,2.23,7389.0,10054548.7,1
2026-01-21,1376.0,1398.0,1350.0,1369.0,-0.51,3577.0,4909502.7,-1
2026-01-22,1350.0,1359.0,1343.1,1359.0,0.67,1055.0,1422997.0,1
2026-01-25,1385.9,1450.0,1305.4,1450.0,4.63,4673.0,6510801.2,1
2026-01-26,1422.1,1465.0,1395.0,1425.0,0.2,4480.0,6352387.2,1
2026-01-27,1425.5,1428.1,1300.0,1389.9,-2.5,6667.0,9212453.7,-1
2026-01-28,1370.0,1397.4,1345.0,1355.0,-1.09,3344.0,4580889.4,-1
2026-01-29,1356.0,1388.0,1330.0,1340.0,-1.18,3660.0,4962523.4,-1
2026-02-01,1365.0,1365.0,1315.0,1340.0,-1.83,705.0,943152.3,-1
2026-02-02,1325.0,1345.0,1320.0,1336.0,0.83,1426.0,1884496.0,1
2026-02-03,1321.0,1359.9,1300.0,1359.9,2.94,2057.0,2701126.0,1
2026-02-04,1333.5,1349.8,1293.6,1330.0,-0.26,3079.0,4029186.7,-1
2026-02-05,1330.0,1330.0,1304.0,1328.9,-0.08,1466.0,1924604.0,-1
2026-02-08,1349.0,1349.0,1309.0,1324.0,-1.85,1906.0,2517332.5,-1
2026-02-09,1324.0,1324.0,1302.0,1302.1,-1.65,1515.0,1975717.4,-1
2026-02-10,1302.0,1313.0,1292.0,1313.0,0.84,834.0,1081566.1,1
2026-02-11,1338.9,1358.9,1290.2,1290.2,-3.64,1055.0,1378564.2,-1
2026-02-12,1290.3,1310.0,1280.0,1309.0,1.45,2175.0,2811365.8,1
2026-02-16,1290.0,1308.9,1285.0,1308.9,1.47,1100.0,1419777.6,1
2026-02-17,1300.0,1314.0,1283.0,1314.0,1.08,2996.0,3895529.2,1
2026-02-22,1319.0,1319.0,1285.0,1290.0,-2.2,769.0,998403.5,-1
2026-02-23,1290.0,1301.9,1280.0,1300.0,0.78,296.0,379774.1,1
2026-02-24,1300.0,1305.0,1290.0,1303.9,0.3,561.0,729762.6,1
2026-02-25,1303.9,1314.5,1290.0,1296.0,-0.61,1434.0,1861365.9,-1
2026-02-26,1316.5,1316.5,1278.0,1293.1,-1.78,580.0,748193.8,-1
2026-03-01,1307.9,1310.0,1285.0,1299.0,-0.68,2741.0,3561788.5,-1
2026-03-03,1288.0,1313.3,1288.0,1310.0,1.71,648.0,844780.7,1
2026-03-09,1336.2,1336.2,1336.2,1336.2,0.0,20.0,26724.0,0
2026-03-10,1362.9,1390.0,1337.0,1385.0,1.62,8248.0,11286870.8,1
2026-03-11,1358.0,1384.0,1350.0,1362.0,0.29,1909.0,2614762.1,1
2026-03-12,1350.0,1368.0,1342.0,1354.9,0.36,1548.0,2095852.0,1
2026-03-15,1354.0,1359.8,1331.0,1357.0,0.22,1207.0,1626433.8,1
2026-03-16,1357.0,1357.0,1336.0,1346.9,-0.74,858.0,1151539.0,-1
2026-03-17,1331.1,1344.8,1318.0,1344.8,1.03,3455.0,4572439.5,1
2026-03-19,1344.0,1369.9,1332.5,1369.9,1.93,4318.0,5818714.4,1
2026-03-22,1369.9,1430.0,1369.9,1425.0,4.02,11098.0,15601106.2,1
2026-03-23,1426.0,1426.0,1390.0,1408.0,-1.26,6347.0,8908574.5,-1
2026-03-24,1405.0,1420.0,1399.0,1409.0,0.28,2165.0,3048432.8,1
2026-03-25,1409.0,1409.0,1381.1,1400.0,-0.64,6062.0,8427266.9,-1
2026-03-26,1386.0,1413.0,1280.0,1413.0,1.95,3359.0,4701553.4,1
2026-03-29,1441.2,1441.2,1357.4,1357.4,-5.81,3640.0,5054789.9,-1
2026-03-30,1384.5,1410.0,1350.1,1396.3,0.85,5534.0,7705709.4,1
