published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,9.1,9.23,9.02,9.23,1.43,28250.0,258083.0,1
2025-12-09,9.1,9.11,9.1,9.11,0.11,3600.0,32793.0,1
2025-12-10,9.0,9.1,9.0,9.1,1.11,400.0,3630.0,1
2025-12-11,9.28,9.28,9.1,9.1,-1.94,25900.0,235732.0,-1
2025-12-14,8.92,9.13,8.92,9.06,1.57,2600.0,23485.0,1
2025-12-15,8.98,9.05,8.98,9.05,0.78,1780.0,16046.0,1
2025-12-16,9.01,9.23,9.01,9.1,1.0,21700.0,198493.0,1
2025-12-17,8.93,9.1,8.93,9.06,1.46,850.0,7691.0,1
2025-12-18,9.03,9.12,9.03,9.12,1.0,4490.0,40879.8,1
2025-12-21,9.12,9.19,9.0,9.19,0.77,36400.0,331612.0,1
2025-12-22,9.09,9.37,9.03,9.21,1.32,10220.0,94031.2,1
2025-12-23,9.03,9.11,9.03,9.11,0.89,25700.0,233189.0,1
2025-12-24,9.0,9.25,9.0,9.2,2.22,40100.0,366901.0,1
2025-12-28,9.38,9.56,9.2,9.55,1.81,21305.0,198904.9,1
2025-12-29,9.36,9.7,9.36,9.7,3.63,11077.0,104590.58,1
2025-12-31,9.51,9.53,9.35,9.35,-1.68,4800.0,45449.0,-1
2026-01-01,9.17,9.2,9.15,9.2,0.33,1900.0,17425.0,1
2026-01-04,9.03,9.21,9.03,9.06,0.33,43801.0,396171.05,1
2026-01-05,9.1,9.24,9.1,9.13,0.33,4000.0,36777.0,1
2026-01-06,9.07,9.31,9.07,9.31,2.65,7470.0,68634.3,1
2026-01-07,9.25,9.4,9.21,9.25,0.0,35450.0,329382.0,0
2026-01-08,9.09,9.43,9.09,9.3,2.31,15860.0,148279.0,1
2026-01-12,9.2,9.44,9.2,9.35,1.63,17100.0,161100.0,1
2026-01-13,9.17,9.35,9.17,9.26,0.98,13800.0,128748.0,1
2026-01-14,9.21,9.35,9.21,9.35,1.52,580.0,5381.0,1
2026-01-18,9.35,9.41,9.2,9.28,-0.75,17260.0,161469.2,-1
2026-01-20,9.28,9.46,9.28,9.33,0.54,47930.0,452618.2,1
2026-01-21,9.21,9.44,9.21,9.3,0.98,15050.0,141067.0,1
2026-01-22,9.21,9.39,9.21,9.35,1.52,23600.0,220907.0,1
2026-01-25,9.31,9.6,9.31,9.6,3.11,50950.0,482832.0,1
2026-01-26,9.5,9.75,9.5,9.6,1.05,113481.0,1098234.82,1
2026-01-27,9.5,9.55,9.46,9.46,-0.42,2450.0,23243.0,-1
2026-01-28,9.37,9.79,9.37,9.79,4.48,107300.0,1048538.2,1
2026-01-29,9.65,9.97,9.65,9.97,3.32,249510.0,2449608.0,1
2026-02-01,9.8,9.8,9.64,9.67,-1.33,11006.0,107171.94,-1
2026-02-02,9.61,9.7,9.61,9.65,0.42,10530.0,101441.5,1
2026-02-03,9.6,9.75,9.6,9.75,1.56,11490.0,111419.4,1
2026-02-04,9.62,9.7,9.62,9.65,0.31,1200.0,11589.0,1
2026-02-05,9.63,9.82,9.63,9.82,1.97,43099.0,422829.18,1
2026-02-08,9.65,9.69,9.64,9.69,0.41,21800.0,210599.0,1
2026-02-09,9.65,9.71,9.65,9.66,0.1,2850.0,27558.5,1
2026-02-10,9.63,9.85,9.48,9.85,2.28,121600.0,1194877.5,1
2026-02-11,9.7,9.9,9.7,9.71,0.1,1950.0,19101.0,1
2026-02-12,9.6,9.89,9.6,9.89,3.02,11440.0,112663.0,1
2026-02-16,9.7,9.75,9.6,9.75,0.52,3200.0,30845.0,1
2026-02-17,9.92,9.93,9.56,9.58,-3.43,1620.0,15817.6,-1
2026-02-22,9.45,9.75,9.45,9.7,2.65,3700.0,35561.0,1
2026-02-23,9.52,9.6,9.52,9.52,0.0,1150.0,10972.0,0
2026-02-24,9.5,9.7,9.4,9.51,0.11,10460.0,99857.4,1
2026-02-25,9.42,9.5,9.42,9.46,0.42,1600.0,15140.0,1
2026-02-26,9.48,9.66,9.48,9.66,1.9,4800.0,46239.0,1
2026-03-01,9.48,9.51,9.48,9.5,0.21,850.0,8076.0,1
2026-03-03,9.5,9.68,9.5,9.68,1.89,10279.0,98230.5,1
2026-03-10,9.5,9.6,9.5,9.6,1.05,3200.0,30507.0,1
2026-03-11,9.42,9.65,9.42,9.6,1.91,7900.0,75733.0,1
2026-03-12,9.6,9.78,9.5,9.64,0.42,69950.0,673117.0,1
2026-03-15,9.65,9.8,9.63,9.72,0.73,25000.0,242707.0,1
2026-03-16,9.62,9.8,9.62,9.8,1.87,18299.0,178528.37,1
2026-03-17,9.8,9.9,9.8,9.9,1.02,19093.0,188800.26,1
2026-03-19,9.73,10.09,9.73,9.89,1.64,65889.0,655248.21,1
2026-03-22,9.7,10.0,9.7,9.93,2.37,14560.0,144490.6,1
