published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,818.0,819.0,808.1,811.0,-0.86,5224.0,4241176.8,-1
2025-12-09,811.2,822.0,810.0,810.0,-0.15,6956.0,5660907.6,-1
2025-12-10,810.1,815.0,801.0,803.0,-0.88,10405.0,8405238.8,-1
2025-12-11,800.4,820.0,800.4,812.0,1.45,6764.0,5508868.7,1
2025-12-14,802.0,812.0,800.0,801.0,-0.12,11016.0,8837733.9,-1
2025-12-15,786.0,809.7,786.0,803.2,2.19,2695.0,2168037.4,1
2025-12-16,817.0,819.2,804.0,804.1,-1.58,3757.0,3051752.3,-1
2025-12-17,820.1,820.1,804.3,808.0,-1.48,5615.0,4531572.1,-1
2025-12-18,808.0,821.1,801.1,805.0,-0.37,2665.0,2158071.4,-1
2025-12-21,805.0,805.0,790.5,793.0,-1.49,4102.0,3257555.0,-1
2025-12-22,782.0,791.0,782.0,786.0,0.51,6234.0,4911294.7,1
2025-12-23,789.0,794.8,788.0,790.5,0.19,2692.0,2125978.2,1
2025-12-24,792.0,797.9,790.0,794.4,0.3,5395.0,4278991.3,1
