published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1701.0,1740.0,1701.0,1740.0,2.29,3579.0,6185055.4,1
2025-12-09,1768.0,1768.0,1705.2,1705.2,-3.55,305.0,524885.0,-1
2025-12-10,1736.9,1770.5,1690.0,1770.5,1.93,1886.0,3245025.1,1
2025-12-11,1736.0,1770.0,1671.0,1770.0,1.96,744.0,1293490.0,1
2025-12-14,1790.0,1790.0,1686.0,1719.0,-3.97,378.0,644718.0,-1
2025-12-15,1735.0,1749.0,1710.0,1739.0,0.23,437.0,757924.8,1
2025-12-16,1739.0,1769.0,1709.0,1742.0,0.17,1132.0,1947056.5,1
2025-12-17,1742.0,1742.0,1709.0,1738.0,-0.23,851.0,1457096.8,-1
2025-12-18,1738.0,1738.0,1700.0,1700.0,-2.19,1112.0,1892135.1,-1
2025-12-21,1700.0,1710.0,1679.0,1700.0,0.0,1052.0,1778565.6,0
2025-12-22,1680.0,1710.0,1680.0,1710.0,1.79,674.0,1148564.0,1
2025-12-23,1689.0,1700.5,1655.0,1695.0,0.36,592.0,999765.0,1
2025-12-24,1695.0,1700.0,1675.0,1675.0,-1.18,264.0,444928.0,-1
2025-12-28,1700.0,1728.9,1667.0,1728.9,1.7,1135.0,1918279.2,1
2025-12-29,1762.0,1762.0,1639.0,1753.0,-0.51,943.0,1603042.9,-1
2025-12-31,1718.0,1718.0,1684.0,1684.0,-1.98,857.0,1445226.4,-1
2026-01-01,1684.0,1700.0,1659.1,1700.0,0.95,651.0,1086565.1,1
2026-01-04,1670.0,1670.0,1640.0,1640.0,-1.8,1332.0,2218421.0,-1
2026-01-05,1640.0,1670.0,1639.0,1640.0,0.0,1589.0,2609380.2,0
2026-01-06,1640.0,1688.1,1640.0,1656.0,0.98,1359.0,2253719.6,1
2026-01-07,1685.0,1689.0,1611.0,1668.0,-1.01,1612.0,2636264.5,-1
2026-01-08,1668.0,1698.0,1645.0,1698.0,1.8,556.0,923118.0,1
2026-01-12,1700.0,1700.0,1635.7,1635.9,-3.77,2506.0,4160952.9,-1
2026-01-13,1635.9,1668.0,1616.0,1616.0,-1.22,230.0,373303.0,-1
2026-01-14,1647.8,1680.0,1602.0,1680.0,1.95,3040.0,4969206.0,1
2026-01-18,1713.0,1770.0,1705.2,1751.0,2.22,3747.0,6477339.8,1
2026-01-20,1765.0,1770.0,1731.0,1770.0,0.28,1555.0,2739417.5,1
2026-01-21,1750.0,1750.0,1716.0,1740.0,-0.57,393.0,675917.5,-1
2026-01-22,1707.0,1740.0,1672.1,1740.0,1.93,3681.0,6190027.0,1
2026-01-25,1710.0,1742.9,1690.0,1742.9,1.92,1893.0,3218000.0,1
2026-01-26,1725.0,1725.0,1679.0,1714.0,-0.64,1737.0,2937865.0,-1
2026-01-27,1696.0,1709.0,1675.0,1700.0,0.24,3232.0,5439503.7,1
2026-01-28,1734.0,1734.0,1648.0,1694.7,-2.27,1195.0,1995085.5,-1
2026-01-29,1694.7,1694.7,1631.0,1673.8,-1.23,972.0,1604256.2,-1
2026-02-01,1641.1,1669.0,1610.0,1669.0,1.7,356.0,580776.0,1
2026-02-02,1635.8,1667.9,1615.1,1666.9,1.9,458.0,749689.7,1
2026-02-03,1633.6,1690.0,1610.0,1690.0,3.45,164.0,269601.5,1
2026-02-04,1690.0,1690.0,1660.0,1679.9,-0.6,137.0,227615.8,-1
2026-02-05,1679.9,1679.9,1650.0,1679.0,-0.05,169.0,282799.4,-1
2026-02-08,1645.5,1654.0,1645.0,1645.0,-0.03,437.0,720566.4,-1
2026-02-09,1645.0,1645.0,1630.0,1630.0,-0.91,254.0,415797.4,-1
2026-02-10,1625.0,1631.0,1598.0,1625.0,0.0,1844.0,2950589.4,0
2026-02-11,1606.5,1630.0,1603.0,1630.0,1.46,265.0,427023.0,1
2026-02-12,1600.0,1629.9,1590.0,1629.9,1.87,875.0,1399240.3,1
2026-02-16,1602.0,1635.0,1601.0,1635.0,2.06,944.0,1517181.6,1
2026-02-17,1610.0,1667.7,1583.0,1667.7,3.58,2610.0,4225220.9,1
2026-02-22,1688.0,1725.0,1600.0,1639.9,-2.85,1565.0,2572717.0,-1
2026-02-23,1610.0,1640.8,1600.0,1608.0,-0.12,120.0,193875.6,-1
2026-02-24,1589.2,1669.9,1589.1,1669.9,5.08,995.0,1629240.9,1
2026-02-25,1636.6,1652.0,1617.2,1652.0,0.94,610.0,992069.2,1
2026-02-26,1670.0,1670.0,1632.0,1654.0,-0.96,6517.0,10821467.0,-1
2026-03-01,1654.0,1665.0,1646.1,1665.0,0.67,1782.0,2947272.3,1
