published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,763.0,778.0,750.0,772.0,1.18,1764.0,1345797.0,1
2025-12-09,758.0,761.0,752.4,760.0,0.26,1676.0,1267622.0,1
2025-12-10,751.0,770.0,751.0,770.0,2.53,328.0,249437.0,1
2025-12-11,754.6,777.2,748.0,772.0,2.31,260.0,198972.0,1
2025-12-14,758.0,765.0,758.0,765.0,0.92,155.0,117787.0,1
2025-12-15,752.1,763.0,752.1,755.2,0.41,590.0,446086.0,1
2025-12-16,748.0,765.0,747.0,750.7,0.36,760.0,572297.0,1
2025-12-17,750.0,795.0,750.0,774.0,3.2,890.0,679931.0,1
2025-12-18,759.1,780.0,753.0,753.0,-0.8,1077.0,816280.2,-1
2025-12-21,748.5,756.0,742.2,755.0,0.87,570.0,428645.0,1
2025-12-22,742.1,750.0,742.1,749.9,1.05,1188.0,884378.1,1
2025-12-23,741.1,755.0,736.0,746.9,0.78,555.0,410900.0,1
2025-12-24,735.0,735.6,721.2,734.5,-0.07,1906.0,1385262.5,-1
2025-12-28,721.0,735.0,720.2,731.0,1.39,1391.0,1011097.2,1
2025-12-29,732.0,740.0,700.0,720.0,-1.64,4947.0,3532283.9,-1
2025-12-31,708.1,715.0,696.0,707.9,-0.03,5760.0,4039640.9,-1
2026-01-01,705.0,710.0,693.8,710.0,0.71,2187.0,1526047.8,1
2026-01-04,696.1,714.8,690.0,703.0,0.99,3839.0,2674906.4,1
2026-01-05,691.1,714.0,691.1,708.0,2.45,2485.0,1749269.4,1
2026-01-06,710.0,717.0,700.4,710.0,0.0,2575.0,1812312.5,0
2026-01-07,719.0,745.0,705.2,725.1,0.85,6874.0,5001136.8,1
2026-01-08,738.0,738.0,716.1,728.0,-1.36,3326.0,2413334.7,-1
2026-01-12,740.0,740.0,713.7,725.0,-2.03,2724.0,1961442.0,-1
2026-01-13,711.0,735.0,685.1,722.0,1.55,21076.0,14712060.1,1
