published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,723.0,729.0,712.0,715.0,-1.11,9439.0,6761025.9,-1
2025-12-09,706.0,772.9,705.0,772.9,9.48,30814.0,22322927.2,1
2025-12-10,757.5,757.5,728.5,737.4,-2.65,14619.0,10755933.0,-1
2025-12-11,725.0,734.0,715.0,722.9,-0.29,16469.0,11795149.0,-1
2025-12-14,737.0,737.0,698.1,704.9,-4.36,50424.0,35422277.8,-1
2025-12-15,691.0,700.0,679.8,685.0,-0.87,30749.0,20994432.8,-1
2025-12-16,672.0,726.2,672.0,687.0,2.23,25341.0,17389401.7,1
2025-12-17,674.0,714.0,674.0,685.0,1.63,26345.0,17972955.9,1
2025-12-18,698.7,698.7,674.3,675.1,-3.38,26936.0,18215221.7,-1
2025-12-21,672.0,680.0,639.3,642.0,-4.46,34495.0,22507362.6,-1
2025-12-22,630.1,680.1,617.5,638.0,1.25,46035.0,29260790.6,1
2025-12-23,625.3,689.0,625.3,628.1,0.45,32533.0,20564015.6,1
2025-12-24,615.6,666.4,605.2,605.2,-1.69,24968.0,15457081.2,-1
2025-12-28,616.9,616.9,599.8,601.0,-2.58,51187.0,30889937.5,-1
2025-12-29,612.0,637.5,578.0,578.0,-5.56,20755.0,12369699.1,-1
