published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,504.5,508.0,499.0,503.1,-0.28,8889.0,4469463.3,-1
2025-12-09,500.0,513.0,500.0,506.0,1.2,5410.0,2744063.3,1
2025-12-10,507.0,511.4,500.1,504.9,-0.41,5328.0,2687749.4,-1
2025-12-11,501.0,504.0,500.0,503.0,0.4,7812.0,3914236.9,1
2025-12-14,498.0,502.0,493.0,495.0,-0.6,10015.0,4963271.0,-1
2025-12-15,490.0,502.0,490.0,502.0,2.45,4912.0,2445683.6,1
2025-12-16,505.0,507.0,497.0,505.0,0.0,3207.0,1605272.8,0
2025-12-17,501.0,509.0,499.1,500.0,-0.2,6845.0,3423728.4,-1
2025-12-18,495.0,500.0,490.0,496.0,0.2,11823.0,5852057.6,1
2025-12-21,494.0,504.0,493.9,495.1,0.22,5931.0,2953376.1,1
2025-12-22,492.0,493.0,489.0,490.0,-0.41,6620.0,3250563.2,-1
2025-12-23,499.8,509.0,481.0,485.0,-2.96,13747.0,6685799.2,-1
2025-12-24,481.0,499.0,481.0,489.7,1.81,4422.0,2153768.2,1
2025-12-28,490.0,505.9,486.5,499.6,1.96,11183.0,5571681.7,1
2025-12-29,494.1,502.0,494.1,500.0,1.19,8247.0,4097579.3,1
2025-12-31,510.0,510.0,489.2,494.3,-3.08,9972.0,4924447.6,-1
2026-01-01,502.0,502.0,485.1,492.0,-1.99,11095.0,5419816.9,-1
2026-01-04,485.0,495.0,485.0,488.0,0.62,3910.0,1914053.1,1
2026-01-05,481.0,496.0,479.0,495.0,2.91,16338.0,8020053.6,1
2026-01-06,486.1,499.0,486.1,496.8,2.2,5394.0,2657179.0,1
2026-01-07,486.9,515.0,486.9,488.6,0.35,7901.0,3884395.5,1
2026-01-08,489.0,497.0,486.2,486.2,-0.57,9741.0,4759458.0,-1
2026-01-12,485.0,490.1,480.1,484.0,-0.21,10716.0,5183167.5,-1
2026-01-13,484.0,490.0,480.0,487.4,0.7,6641.0,3223831.8,1
