published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,918.3,932.0,914.0,924.8,0.71,11300.0,10392031.1,1
2025-12-09,909.0,925.8,902.1,914.0,0.55,3016.0,2761080.4,1
2025-12-10,895.8,939.0,895.8,914.0,2.03,4620.0,4175278.9,1
2025-12-11,900.0,915.0,900.0,909.8,1.09,3963.0,3590368.1,1
2025-12-14,901.1,910.0,888.2,899.8,-0.14,3051.0,2737018.0,-1
2025-12-15,906.0,906.0,882.0,897.9,-0.89,2003.0,1779637.5,-1
2025-12-16,895.0,906.6,892.5,905.0,1.12,1886.0,1692249.8,1
2025-12-17,915.0,915.0,890.6,892.0,-2.51,3632.0,3267628.9,-1
2025-12-18,883.5,900.0,883.5,897.9,1.63,2392.0,2128913.4,1
2025-12-21,891.0,896.9,882.1,895.0,0.45,2645.0,2349272.6,1
2025-12-22,878.0,883.0,878.0,880.0,0.23,2190.0,1930006.3,1
