published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,527.1,540.0,527.0,528.0,0.17,4157.0,2203000.6,1
2025-12-09,528.2,534.9,517.5,530.8,0.49,8848.0,4655015.0,1
2025-12-10,524.0,539.9,514.0,531.5,1.43,10240.0,5367348.0,1
2025-12-11,521.0,530.0,520.0,530.0,1.73,1329.0,697425.0,1
2025-12-14,526.0,530.0,520.0,520.3,-1.08,2400.0,1253636.6,-1
2025-12-15,520.0,531.0,517.2,523.5,0.67,10103.0,5332690.1,1
2025-12-16,520.0,544.0,520.0,543.0,4.42,14003.0,7506321.9,1
2025-12-17,545.0,559.9,540.0,555.0,1.83,20997.0,11587200.4,1
2025-12-18,560.0,564.6,550.0,550.0,-1.79,18647.0,10388653.0,-1
2025-12-21,561.0,561.0,540.0,545.0,-2.85,9069.0,4957132.0,-1
2025-12-22,555.9,555.9,542.0,545.0,-1.96,22470.0,12259388.1,-1
2025-12-23,542.0,579.0,542.0,577.5,6.55,69151.0,38986508.8,1
2025-12-24,580.0,588.0,565.0,566.0,-2.41,12359.0,7061742.5,-1
2025-12-28,567.0,585.0,551.0,580.0,2.29,46843.0,26481034.2,1
2025-12-29,575.0,585.0,563.0,566.9,-1.41,23705.0,13479608.8,-1
2025-12-31,558.0,575.0,553.0,560.0,0.36,23235.0,13024849.5,1
2026-01-01,569.9,569.9,540.7,543.0,-4.72,22865.0,12528960.6,-1
2026-01-04,542.5,558.0,540.1,558.0,2.86,12698.0,6948956.4,1
2026-01-05,567.0,569.0,547.5,565.0,-0.35,25154.0,14131760.2,-1
2026-01-06,570.0,585.0,568.0,574.9,0.86,34598.0,19919444.3,1
2026-01-07,575.0,603.9,575.0,590.0,2.61,50938.0,29965578.3,1
2026-01-08,594.5,596.0,585.6,594.5,0.0,24382.0,14374544.3,0
2026-01-12,595.0,595.0,575.0,579.0,-2.69,22560.0,13102671.0,-1
2026-01-13,579.0,588.8,566.9,578.3,-0.12,12893.0,7416463.7,-1
2026-01-14,575.0,578.0,561.0,573.0,-0.35,14740.0,8373730.3,-1
2026-01-18,570.0,581.0,565.0,569.0,-0.18,9666.0,5500214.3,-1
2026-01-20,580.0,580.0,569.0,575.0,-0.86,14959.0,8577261.9,-1
2026-01-21,570.0,581.0,567.1,568.7,-0.23,9615.0,5493443.0,-1
2026-01-22,563.0,578.0,563.0,574.0,1.95,15772.0,8959813.8,1
2026-01-25,580.0,587.9,571.2,581.0,0.17,23193.0,13439743.7,1
2026-01-26,579.0,586.0,572.0,575.0,-0.69,18157.0,10468844.7,-1
2026-01-27,580.0,591.0,565.0,577.0,-0.52,24854.0,14378206.9,-1
2026-01-28,566.0,619.0,566.0,618.0,9.19,45668.0,27087234.6,1
2026-01-29,630.0,630.3,599.0,600.1,-4.75,44646.0,27505940.1,-1
2026-02-01,589.0,600.0,576.5,580.0,-1.53,18568.0,10848087.4,-1
2026-02-02,580.0,590.0,574.4,576.1,-0.67,10765.0,6236438.4,-1
2026-02-03,577.0,596.3,572.0,579.9,0.5,17860.0,10363994.2,1
2026-02-04,580.0,595.0,579.0,585.0,0.86,13734.0,8043453.8,1
2026-02-05,596.7,596.7,582.0,587.0,-1.63,16161.0,9477570.6,-1
2026-02-08,597.7,598.0,578.0,578.9,-3.15,6010.0,3514213.2,-1
2026-02-09,572.5,583.4,572.0,574.3,0.31,7350.0,4237128.4,1
2026-02-10,583.0,584.0,563.0,565.0,-3.09,10317.0,5872318.1,-1
2026-02-11,570.0,572.0,562.0,564.0,-1.05,6733.0,3804803.3,-1
2026-02-12,555.0,573.4,550.0,555.0,0.0,23900.0,13350908.9,0
2026-02-16,566.0,566.0,548.8,555.0,-1.94,14410.0,7987704.1,-1
2026-02-17,549.0,558.5,524.0,542.0,-1.28,13470.0,7344741.0,-1
2026-02-22,538.0,538.0,530.0,530.1,-1.47,7460.0,3975061.1,-1
2026-02-23,540.0,540.0,525.0,533.8,-1.15,3383.0,1800539.8,-1
2026-02-24,535.0,536.4,531.0,536.0,0.19,2086.0,1114607.1,1
2026-02-25,531.1,540.5,531.0,535.0,0.73,4206.0,2246248.8,1
2026-02-26,540.0,540.0,532.0,534.5,-1.02,5040.0,2692862.8,-1
2026-03-01,534.0,542.0,532.0,540.0,1.12,5792.0,3122835.0,1
2026-03-03,537.0,552.9,537.0,550.0,2.42,6488.0,3566587.0,1
2026-03-09,561.0,561.0,561.0,561.0,0.0,10.0,5610.0,0
2026-03-10,572.2,583.6,560.0,563.5,-1.52,33932.0,19348635.1,-1
2026-03-11,573.0,575.0,565.0,569.0,-0.7,13384.0,7642104.8,-1
2026-03-12,573.9,574.0,560.0,571.9,-0.35,14879.0,8421237.1,-1
2026-03-15,564.5,575.5,564.5,566.3,0.32,8812.0,5017605.4,1
2026-03-16,560.2,575.0,560.2,569.9,1.73,10686.0,6063173.5,1
2026-03-17,575.0,586.5,564.0,579.8,0.83,17865.0,10252439.5,1
2026-03-19,585.0,602.9,575.0,580.0,-0.85,32734.0,19061031.2,-1
2026-03-22,590.0,590.0,564.0,570.0,-3.39,20740.0,11889055.6,-1
2026-03-23,568.2,578.0,565.1,571.9,0.65,9540.0,5432024.7,1
2026-03-24,560.5,580.0,560.5,575.9,2.75,13378.0,7692781.5,1
2026-03-25,575.0,581.9,566.4,566.4,-1.5,8538.0,4876037.7,-1
2026-03-26,566.4,573.0,566.1,568.0,0.28,8256.0,4686620.5,1
2026-03-29,568.0,573.0,550.0,553.0,-2.64,14449.0,8096110.2,-1
2026-03-30,547.0,562.0,545.0,550.0,0.55,10203.0,5660970.1,1
2026-03-31,561.0,561.0,544.5,554.1,-1.23,5238.0,2879229.6,-1
2026-04-01,550.0,550.0,535.0,543.9,-1.11,7687.0,4158796.8,-1
2026-04-02,534.1,543.8,524.0,542.0,1.48,6051.0,3250813.6,1
2026-04-05,533.0,533.0,508.0,510.0,-4.32,8221.0,4267677.0,-1
2026-04-06,505.0,535.5,500.0,525.0,3.96,8487.0,4449451.3,1
2026-04-07,517.0,535.5,517.0,518.0,0.19,6483.0,3409336.6,1
2026-04-08,510.1,539.0,510.1,539.0,5.67,7540.0,3959175.5,1
2026-04-09,548.9,548.9,530.0,545.0,-0.71,5161.0,2780012.4,-1
2026-04-10,535.0,539.0,530.0,538.5,0.65,4579.0,2449503.0,1
2026-04-13,528.1,551.9,528.1,534.0,1.12,7198.0,3888224.2,1
2026-04-15,544.6,547.0,536.1,537.5,-1.3,5953.0,3217164.0,-1
2026-04-16,529.0,547.0,529.0,531.0,0.38,1731.0,919223.0,1
2026-04-17,525.0,541.0,520.0,539.5,2.76,4825.0,2537826.0,1
2026-04-20,526.0,533.0,526.0,530.0,0.76,1810.0,959751.0,1
2026-04-21,540.0,543.6,521.0,522.3,-3.28,5180.0,2722668.0,-1
2026-04-22,537.0,537.0,517.3,524.0,-2.42,4054.0,2131879.9,-1
2026-04-23,517.5,529.0,517.4,527.9,2.01,2160.0,1119575.0,1
2026-04-24,527.9,527.0,513.7,527.0,-0.17,500.0,259520.0,-1
2026-04-27,527.0,530.0,514.0,520.0,-1.33,3928.0,2032391.0,-1
2026-04-28,520.0,523.0,515.0,523.0,0.58,2750.0,1421273.2,1
2026-04-29,497.4,519.9,497.4,515.0,3.54,2254.0,1159324.0,1
2026-04-30,503.1,517.0,503.1,516.5,2.66,1217.0,624554.0,1
2026-05-04,510.0,515.9,509.0,509.0,-0.2,1744.0,889972.0,-1
2026-05-05,500.1,515.0,500.0,504.0,0.78,5022.0,2526230.5,1
2026-05-06,519.0,519.0,498.1,504.0,-2.89,2389.0,1195834.0,-1
2026-05-07,519.1,519.1,504.0,505.5,-2.62,1933.0,981279.7,-1
2026-05-08,516.0,516.0,502.1,512.0,-0.78,875.0,447473.5,-1
2026-05-11,523.5,523.5,510.0,519.0,-0.86,1987.0,1023199.4,-1
2026-05-12,530.0,530.0,504.1,504.1,-4.89,2116.0,1089422.0,-1
2026-05-13,510.0,517.9,505.0,514.0,0.78,1884.0,961534.0,1
2026-05-14,519.0,519.0,502.3,502.3,-3.22,1061.0,535298.0,-1
2026-05-15,517.3,577.0,504.0,507.1,-1.97,2442.0,1256103.0,-1
2026-05-18,507.0,512.0,499.0,499.2,-1.54,6210.0,3116886.0,-1
2026-05-19,500.2,514.7,500.1,509.9,1.94,2336.0,1182948.0,1
2026-05-20,495.0,517.8,495.0,517.0,4.44,13431.0,6763893.6,1
