published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,896.0,908.0,879.0,908.0,1.34,927.0,827658.7,1
2025-12-09,890.1,905.0,883.0,900.0,1.11,1170.0,1040038.0,1
2025-12-10,882.3,896.0,882.3,885.0,0.31,3288.0,2930872.1,1
2025-12-11,867.5,877.0,860.0,865.0,-0.29,1166.0,1009994.0,-1
2025-12-14,855.0,860.0,848.0,848.0,-0.82,5540.0,4705026.5,-1
2025-12-15,848.0,860.0,832.0,845.0,-0.35,802.0,682208.0,-1
2025-12-16,845.0,868.9,837.2,868.9,2.83,2045.0,1743503.4,1
2025-12-17,884.0,884.0,845.0,846.0,-4.3,1830.0,1558835.0,-1
2025-12-18,842.0,856.5,835.1,835.1,-0.82,1900.0,1598611.0,-1
2025-12-21,835.0,836.5,820.0,820.0,-1.8,2508.0,2078360.0,-1
2025-12-22,817.0,847.0,817.0,825.1,0.99,1700.0,1420932.0,1
2025-12-23,825.1,825.1,818.2,820.3,-0.58,1090.0,895944.4,-1
2025-12-24,819.5,823.0,819.5,821.2,0.21,1090.0,895638.0,1
2025-12-28,837.6,859.0,815.0,848.0,1.24,7564.0,6355873.5,1
2025-12-29,850.0,854.8,838.1,853.0,0.35,979.0,834471.2,1
2025-12-31,840.0,850.0,834.0,835.0,-0.6,220.0,183892.0,-1
2026-01-01,820.2,839.2,820.2,827.0,0.83,1701.0,1411751.0,1
2026-01-04,815.0,821.0,802.1,812.0,-0.37,2290.0,1856304.2,-1
2026-01-05,798.4,822.9,798.3,819.0,2.58,1369.0,1107381.0,1
2026-01-06,803.0,863.1,803.0,823.0,2.49,4000.0,3309163.0,1
2026-01-07,807.0,870.0,807.0,845.0,4.71,3174.0,2684977.6,1
2026-01-08,828.7,900.0,828.7,867.1,4.63,4349.0,3716954.7,1
2026-01-12,850.5,864.0,840.3,848.2,-0.27,1519.0,1298760.4,-1
2026-01-13,836.6,854.0,836.3,845.0,1.0,1142.0,964908.1,1
2026-01-14,828.1,875.0,815.1,856.9,3.48,2902.0,2448037.4,1
2026-01-18,840.5,858.0,840.5,850.1,1.14,670.0,568347.4,1
2026-01-20,834.5,851.1,834.5,848.0,1.62,1779.0,1501634.9,1
2026-01-21,831.5,869.5,831.5,869.5,4.57,4642.0,3964694.0,1
2026-01-22,852.2,917.0,852.2,893.5,4.85,7793.0,6776372.2,1
2026-01-25,876.4,929.0,840.5,890.0,1.55,7020.0,6155035.3,1
2026-01-26,872.2,961.0,855.0,918.0,5.25,11111.0,9803957.8,1
2026-01-27,901.5,901.5,866.7,880.0,-2.38,2640.0,2321807.0,-1
2026-01-28,863.1,865.0,850.0,862.0,-0.13,1676.0,1435395.1,-1
2026-01-29,846.0,913.0,845.0,913.0,7.92,5061.0,4381508.4,1
2026-02-01,896.3,896.3,844.3,862.0,-3.83,3834.0,3269316.0,-1
2026-02-02,845.5,865.0,829.0,850.4,0.58,3866.0,3299306.7,1
2026-02-03,834.3,863.0,834.3,849.8,1.86,2539.0,2134024.6,1
2026-02-04,833.0,861.8,833.0,860.0,3.24,3875.0,3315761.8,1
2026-02-05,872.8,874.0,852.0,866.0,-0.78,1497.0,1291585.5,-1
2026-02-08,866.0,880.0,852.3,854.0,-1.39,7956.0,6905798.8,-1
2026-02-09,865.0,867.0,810.0,860.0,-0.58,10492.0,8870289.0,-1
2026-02-10,845.0,918.0,774.0,853.0,0.95,40488.0,31955594.6,1
2026-02-11,860.0,860.0,800.0,800.0,-6.98,7612.0,6177713.2,-1
2026-02-12,796.0,810.0,769.0,799.0,0.38,22771.0,17765618.1,1
2026-02-16,790.0,790.0,771.1,773.0,-2.15,12282.0,9524206.2,-1
2026-02-17,770.1,770.5,750.6,751.0,-2.48,32596.0,24597573.2,-1
2026-02-22,741.0,768.0,725.1,739.0,-0.27,11734.0,8624360.4,-1
2026-02-23,725.1,735.0,715.0,715.6,-1.31,8795.0,6349067.1,-1
2026-02-24,702.0,730.0,696.3,725.0,3.28,16316.0,11639735.0,1
2026-02-25,738.5,749.0,726.0,743.8,0.72,2606.0,1916215.0,1
2026-02-26,735.0,735.0,722.0,732.0,-0.41,3057.0,2227110.2,-1
2026-03-01,718.1,739.0,705.1,726.0,1.1,1615.0,1174339.7,1
2026-03-03,726.0,753.0,707.6,707.6,-2.53,9449.0,6807867.6,-1
2026-03-09,721.0,778.0,721.0,778.0,7.91,50.0,37460.0,1
2026-03-10,779.0,779.0,736.7,745.0,-4.36,34131.0,25773498.3,-1
2026-03-11,731.8,775.0,731.8,749.0,2.35,9305.0,6977422.5,1
2026-03-12,736.2,750.0,736.2,746.1,1.34,10173.0,7592090.8,1
2026-03-15,741.0,750.0,735.0,736.0,-0.67,9733.0,7195039.5,-1
2026-03-16,737.1,754.0,737.1,752.9,2.14,18162.0,13553410.2,1
2026-03-17,750.0,764.6,737.0,745.0,-0.67,16031.0,11940213.5,-1
2026-03-19,732.0,773.0,732.0,754.0,3.01,39953.0,29723719.1,1
2026-03-22,758.0,769.0,755.0,760.0,0.26,15749.0,11998728.4,1
2026-03-23,757.3,763.8,748.0,756.0,-0.17,11849.0,8915227.5,-1
2026-03-24,743.0,770.0,743.0,757.0,1.88,12381.0,9359431.3,1
2026-03-25,753.0,765.0,745.9,760.9,1.05,22959.0,17372596.8,1
2026-03-26,750.0,805.0,747.1,805.0,7.33,21752.0,16685559.3,1
2026-03-29,805.0,805.0,757.0,766.0,-4.84,31111.0,24076057.8,-1
2026-03-30,760.0,772.9,746.0,752.0,-1.05,11949.0,9057133.6,-1
2026-03-31,767.0,767.0,737.0,748.0,-2.48,10796.0,8019514.2,-1
2026-04-01,740.2,751.8,720.0,723.0,-2.32,14123.0,10300452.3,-1
2026-04-02,719.0,733.0,714.0,726.0,0.97,7507.0,5405243.8,1
2026-04-05,716.1,717.0,670.4,670.4,-6.38,9565.0,6563873.6,-1
2026-04-06,680.0,711.0,680.0,705.0,3.68,10931.0,7639108.5,1
2026-04-07,717.0,722.9,700.0,705.9,-1.55,5188.0,3709152.7,-1
2026-04-08,710.0,723.4,700.3,723.4,1.89,8954.0,6357070.1,1
2026-04-09,715.0,730.0,715.0,726.9,1.66,4578.0,3318568.0,1
2026-04-10,719.0,728.1,715.0,724.9,0.82,3075.0,2214696.9,1
2026-04-13,711.0,745.4,711.0,725.0,1.97,3950.0,2859936.6,1
2026-04-15,725.0,749.0,721.1,739.0,1.93,4780.0,3486906.1,1
2026-04-16,750.0,750.0,711.6,723.0,-3.6,3665.0,2641646.4,-1
2026-04-17,709.2,729.0,709.2,729.0,2.79,5359.0,3845611.4,1
2026-04-20,711.0,731.0,711.0,721.0,1.41,1988.0,1433360.9,1
2026-04-21,712.0,721.0,704.0,717.0,0.7,3900.0,2773549.7,1
2026-04-22,717.0,717.0,700.0,711.0,-0.84,3879.0,2733227.4,-1
2026-04-23,710.0,740.0,705.1,721.0,1.55,7681.0,5557725.7,1
2026-04-24,685.0,739.0,685.0,710.2,3.68,4458.0,3190555.1,1
2026-04-27,710.2,746.7,705.2,734.0,3.35,12449.0,9104803.4,1
2026-04-28,730.0,733.0,717.0,724.0,-0.82,1641.0,1184495.4,-1
2026-04-29,724.0,722.9,710.0,719.0,-0.69,856.0,613971.0,-1
2026-04-30,700.1,719.0,700.1,710.0,1.41,1272.0,898436.0,1
2026-05-04,702.1,712.0,693.2,694.0,-1.15,4440.0,3118970.0,-1
2026-05-05,686.1,709.9,686.1,703.0,2.46,2493.0,1751309.5,1
2026-05-06,684.0,704.4,684.0,696.0,1.75,626.0,437092.0,1
2026-05-07,696.0,700.0,680.0,697.0,0.14,2832.0,1972221.0,1
2026-05-08,700.0,705.0,696.1,700.0,0.0,2660.0,1866905.0,0
2026-05-11,703.0,714.0,703.0,714.0,1.56,1135.0,803083.7,1
2026-05-12,703.1,731.0,703.1,705.0,0.27,1280.0,909278.0,1
2026-05-13,686.0,726.0,686.0,726.0,5.83,2834.0,1996515.9,1
2026-05-14,710.0,718.0,704.5,718.0,1.13,1566.0,1106192.5,1
2026-05-15,706.0,714.9,704.0,704.0,-0.28,1111.0,783473.9,-1
2026-05-18,695.5,712.0,695.5,710.0,2.08,2135.0,1499197.5,1
2026-05-19,710.0,710.0,700.0,700.2,-1.38,4570.0,3203236.0,-1
2026-05-20,720.0,720.0,698.6,706.0,-1.94,14389.0,10099657.0,-1
2026-05-21,699.0,708.0,690.1,708.0,1.29,1844.0,1279391.0,1
2026-05-22,695.0,709.0,692.3,708.0,1.87,260.0,180995.0,1
2026-05-25,705.0,725.0,686.8,718.0,1.84,5149.0,3606390.5,1
2026-05-26,718.0,718.0,708.2,710.0,-1.11,940.0,671486.0,-1
2026-05-27,696.0,720.0,696.0,714.0,2.59,1279.0,909325.5,1
2026-06-01,700.2,708.9,700.2,708.9,1.24,876.0,616155.9,1
2026-06-02,707.0,707.0,698.5,700.9,-0.86,2744.0,1922846.4,-1
2026-06-03,715.0,718.7,701.2,709.0,-0.84,735.0,519436.5,-1
2026-06-04,705.0,713.5,700.4,700.4,-0.65,973.0,685761.6,-1
2026-06-05,691.3,720.0,691.3,711.0,2.85,1220.0,870750.3,1
2026-06-08,691.0,710.0,680.2,707.9,2.45,5454.0,3776653.7,1
2026-06-09,688.8,707.5,688.8,700.0,1.63,4875.0,3398929.2,1
2026-06-10,700.0,712.0,696.0,707.0,1.0,370.0,259130.0,1
2026-06-11,700.0,719.9,698.0,704.9,0.7,230.0,161438.0,1
2026-06-12,694.0,705.0,694.0,700.0,0.86,1495.0,1047570.9,1
2026-06-15,688.7,706.5,686.0,690.0,0.19,2055.0,1416411.0,1
2026-06-16,700.0,700.0,679.9,699.0,-0.14,2822.0,1929792.8,-1
2026-06-17,665.1,702.4,665.1,699.0,5.1,1637.0,1129991.5,1
2026-06-18,712.0,712.0,681.0,699.0,-1.83,564.0,391121.0,-1
2026-06-19,710.0,712.0,692.0,693.9,-2.27,934.0,650242.6,-1
2026-06-22,665.2,700.0,665.2,688.8,3.55,1130.0,770962.7,1
2026-06-23,673.0,689.0,671.2,689.0,2.38,1105.0,747415.0,1
2026-06-24,671.0,679.0,651.0,679.0,1.19,1900.0,1263785.0,1
2026-06-25,661.0,670.0,660.0,670.0,1.36,547.0,361410.6,1
2026-06-26,670.0,670.0,660.0,665.0,-0.75,494.0,327227.0,-1
2026-06-29,650.1,667.0,645.1,665.9,2.43,1539.0,1004145.4,1
2026-06-30,655.0,670.0,650.0,670.0,2.29,935.0,615786.0,1
2026-07-01,670.0,681.9,652.0,665.0,-0.75,630.0,419434.0,-1
2026-07-02,675.0,675.0,650.0,668.0,-1.04,924.0,607365.5,-1
2026-07-03,652.0,664.0,652.0,662.0,1.53,1996.0,1312033.5,1
2026-07-06,652.1,660.0,650.0,659.0,1.06,2330.0,1523199.2,1
2026-07-07,673.0,673.0,649.0,664.0,-1.34,1550.0,1015048.0,-1
2026-07-08,697.1,697.1,645.2,665.0,-4.6,1027.0,684254.8,-1
2026-07-09,655.0,669.0,655.0,659.0,0.61,1875.0,1235573.0,1
2026-07-10,650.0,659.0,643.1,651.0,0.15,762.0,493992.2,1
2026-07-13,669.9,670.0,632.0,649.8,-3.0,19435.0,12373894.0,-1
2026-07-14,630.4,649.0,630.4,641.1,1.7,1488.0,959082.3,1
2026-07-15,637.3,660.0,637.2,650.0,1.99,5000.0,3248858.0,1
2026-07-16,618.0,711.0,618.0,662.0,7.12,6146.0,4024792.3,1
2026-07-17,673.0,679.9,652.2,674.0,0.15,1282.0,859821.0,1
2026-07-20,692.0,692.0,641.2,684.0,-1.16,3997.0,2710756.0,-1
