published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,395.0,402.5,395.0,396.0,0.25,27640.0,10981675.2,1
2025-12-09,394.0,406.5,394.0,402.0,2.03,21337.0,8551622.3,1
2025-12-10,403.0,405.0,398.0,399.5,-0.87,21031.0,8423060.6,-1
2025-12-11,395.0,407.4,395.0,400.0,1.27,19949.0,7990478.4,1
2025-12-14,398.0,404.0,395.6,396.0,-0.5,22420.0,8949137.1,-1
2025-12-15,395.0,402.5,395.0,398.4,0.86,16050.0,6401467.1,1
2025-12-16,395.0,414.0,395.0,407.0,3.04,62516.0,25237972.0,1
2025-12-17,405.0,410.0,405.0,408.9,0.96,29278.0,11949914.6,1
2025-12-18,405.0,409.0,403.0,403.5,-0.37,40486.0,16466696.7,-1
2025-12-21,400.0,407.0,394.6,396.0,-1.0,52094.0,20779787.9,-1
2025-12-22,396.0,398.0,394.0,395.9,-0.03,15742.0,6240482.6,-1
2025-12-23,395.0,398.8,392.4,398.0,0.76,37261.0,14730140.6,1
2025-12-24,397.0,410.0,394.0,400.0,0.76,51006.0,20470004.0,1
2025-12-28,396.4,399.0,388.0,399.0,0.66,61304.0,24117682.8,1
2025-12-29,396.0,397.0,393.1,394.0,-0.51,25291.0,9978855.1,-1
2025-12-31,393.0,400.0,393.0,395.0,0.51,34874.0,13825308.7,1
2026-01-01,390.0,395.0,390.0,392.5,0.64,28563.0,11237334.4,1
2026-01-04,392.0,392.0,387.2,388.1,-0.99,20173.0,7841525.6,-1
2026-01-05,390.0,391.6,387.2,390.9,0.23,27095.0,10563113.7,1
2026-01-06,390.9,396.8,390.9,392.3,0.36,20149.0,7945097.2,1
2026-01-07,391.3,395.0,390.2,393.0,0.43,11887.0,4664263.6,1
2026-01-08,390.1,395.0,390.1,395.0,1.26,18813.0,7408068.0,1
2026-01-12,398.0,398.0,391.5,393.9,-1.03,16564.0,6534985.1,-1
2026-01-13,393.0,402.0,390.0,402.0,2.29,34726.0,13786170.1,1
2026-01-14,395.2,401.0,395.2,399.9,1.19,40921.0,16331422.7,1
2026-01-18,404.0,404.0,398.0,400.5,-0.87,19709.0,7886615.7,-1
2026-01-20,405.0,411.0,403.1,408.5,0.86,72604.0,29565321.8,1
2026-01-21,412.9,413.2,406.1,406.2,-1.62,41409.0,16867947.0,-1
2026-01-22,405.0,406.5,403.2,406.4,0.35,20563.0,8323686.5,1
2026-01-25,407.0,410.1,403.1,409.7,0.66,49708.0,20263283.2,1
2026-01-26,409.7,414.9,403.6,405.0,-1.15,45204.0,18348642.8,-1
2026-01-27,402.0,408.7,396.4,397.0,-1.24,46702.0,18702651.4,-1
2026-01-28,397.3,400.0,394.2,396.0,-0.33,35720.0,14122600.8,-1
2026-01-29,394.0,401.0,393.8,394.0,0.0,48106.0,19053640.9,0
2026-02-01,391.7,395.0,391.7,392.2,0.13,23638.0,9285312.5,1
2026-02-02,384.4,397.4,384.4,392.4,2.08,22560.0,8885619.5,1
2026-02-03,392.4,396.0,390.1,392.8,0.1,35652.0,13990445.6,1
2026-02-04,390.0,397.4,390.0,390.3,0.08,35067.0,13724043.2,1
2026-02-05,390.4,396.0,390.1,394.0,0.92,20230.0,7937325.9,1
2026-02-08,390.0,400.0,389.8,391.0,0.26,35645.0,13949476.1,1
2026-02-09,391.0,393.1,387.2,387.3,-0.95,30039.0,11693495.8,-1
2026-02-10,388.1,392.6,384.8,384.8,-0.85,47881.0,18485991.2,-1
2026-02-11,390.0,391.9,384.5,384.5,-1.41,25536.0,9895195.2,-1
2026-02-12,385.2,392.0,383.3,392.0,1.77,33106.0,12864541.5,1
2026-02-16,392.0,392.0,388.0,388.8,-0.82,11959.0,4655993.7,-1
2026-02-17,390.0,393.0,384.0,384.5,-1.41,46627.0,17996736.5,-1
2026-02-22,383.2,388.0,383.2,384.0,0.21,39461.0,15161969.6,1
2026-02-23,389.0,389.0,383.3,385.1,-1.0,21812.0,8406802.4,-1
2026-02-24,384.2,390.0,384.2,386.0,0.47,17677.0,6835534.1,1
2026-02-25,384.0,399.9,384.0,393.4,2.45,29429.0,11539907.9,1
2026-02-26,393.1,394.0,390.0,393.0,-0.03,10504.0,4111746.2,-1
2026-03-01,390.0,395.4,388.2,395.0,1.28,17223.0,6762515.6,1
2026-03-03,395.0,397.9,390.0,396.2,0.3,24915.0,9855554.5,1
2026-03-09,404.1,420.3,404.1,420.0,3.93,2611.0,1088346.1,1
2026-03-10,420.0,426.0,405.0,412.0,-1.9,133543.0,55049711.7,-1
2026-03-11,420.0,420.0,406.8,408.0,-2.86,35350.0,14510834.0,-1
2026-03-12,402.0,411.0,402.0,408.0,1.49,54362.0,22217915.7,1
2026-03-15,409.0,413.0,406.0,409.0,0.0,51410.0,21015402.5,0
2026-03-16,405.2,409.5,405.2,406.0,0.2,29834.0,12131663.0,1
2026-03-17,401.0,407.0,401.0,404.8,0.95,43273.0,17530962.9,1
2026-03-19,404.9,421.0,404.9,416.9,2.96,110714.0,46010342.3,1
2026-03-22,418.0,432.0,416.0,429.3,2.7,169740.0,72173680.4,1
2026-03-23,430.0,437.7,425.0,430.0,0.0,93943.0,40366175.9,0
2026-03-24,428.0,431.7,423.0,425.0,-0.7,41267.0,17583735.2,-1
2026-03-25,422.5,429.7,417.0,418.0,-1.07,51414.0,21651359.2,-1
2026-03-26,417.0,419.9,412.1,416.4,-0.14,58920.0,24518334.6,-1
2026-03-29,416.0,418.0,407.9,408.0,-1.92,48682.0,19968771.4,-1
2026-03-30,406.0,410.0,401.0,403.0,-0.74,49096.0,19831841.9,-1
2026-03-31,395.5,407.6,395.5,405.0,2.4,38224.0,15320597.7,1
