published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-12-30,145.00,150.00,141.00,146.00,2.10,34885.00,5108995.00,1
2020-12-31,148.00,154.00,146.00,152.00,4.11,62785.00,9495985.00,1
2021-01-03,152.00,155.00,147.00,147.00,-3.29,28170.00,4251065.00,-1
2021-01-04,149.00,153.00,147.00,147.00,0.00,36896.00,5527871.00,0
2021-01-05,146.00,161.00,146.00,156.00,6.12,53023.00,8254573.00,1
2021-01-06,163.00,163.00,152.00,154.00,-1.28,13107.00,2036480.00,-1
2021-01-07,154.00,155.00,149.00,152.00,-1.30,23570.00,3559480.00,-1
2021-01-10,155.00,156.00,147.00,149.00,-1.97,18678.00,2799961.00,-1
2021-01-11,150.00,154.00,147.00,147.00,-1.34,16040.00,2377360.00,-1
2021-01-12,145.00,154.00,145.00,150.00,2.04,25095.00,3729410.00,1
2021-01-13,143.00,156.00,143.00,150.00,0.00,26253.00,3923125.00,0
2021-01-17,150.00,150.00,147.00,147.00,-2.00,20853.00,3090817.00,-1
2021-01-18,147.00,150.00,147.00,147.00,0.00,18435.00,2725590.00,0
2021-01-19,149.00,150.00,145.00,145.00,-1.36,26348.00,3834552.00,-1
2021-01-20,144.00,150.00,144.00,150.00,3.45,29909.00,4419522.00,1
2021-01-21,150.00,159.00,146.00,158.00,5.33,118302.00,18118992.00,1
2021-01-24,162.00,173.00,160.00,173.00,9.49,327084.00,55438870.00,1
2021-01-25,181.00,190.00,170.00,182.00,5.20,317708.00,57732944.00,1
2021-01-26,184.00,184.00,173.00,173.00,-4.95,106317.00,18699716.00,-1
2021-01-27,170.00,179.00,168.00,173.00,0.00,38962.00,6759866.00,0
2021-01-28,176.00,176.00,165.00,166.00,-4.05,62688.00,10583156.00,-1
2021-01-31,167.00,167.00,160.00,163.00,-1.81,70179.00,11413749.00,-1
2021-02-01,165.00,169.00,163.00,165.00,1.23,49517.00,8217882.00,1
2021-02-02,168.00,170.00,162.00,167.00,1.21,44598.00,7416985.00,1
2021-02-03,170.00,173.00,161.00,165.00,-1.20,100257.00,16751449.00,-1
2021-02-04,168.00,171.00,164.00,170.00,3.03,81866.00,13771840.00,1
2021-02-07,173.00,173.00,164.00,166.00,-2.35,124521.00,20795231.00,-1
2021-02-08,167.00,169.00,163.00,164.00,-1.20,65275.00,10796570.00,-1
2021-02-09,172.00,172.00,159.00,159.00,-3.05,71175.00,11501824.00,-1
2021-02-10,161.00,167.00,156.00,163.00,2.52,56308.00,9166930.00,1
2021-02-11,161.00,165.00,160.00,162.00,-0.61,47230.00,7634120.00,-1
2021-02-14,165.00,165.00,158.00,160.00,-1.23,36982.00,5954907.00,-1
2021-02-15,167.00,167.00,160.00,162.00,1.25,55874.00,9020532.00,1
2021-02-16,170.00,172.00,160.00,164.00,1.23,75654.00,12494937.00,1
2021-02-17,164.00,173.00,163.00,171.00,4.27,142722.00,24128163.00,1
2021-02-18,175.00,177.00,168.00,170.00,-0.58,104136.00,17745283.00,-1
2021-02-21,175.00,187.00,170.00,187.00,10.00,358581.00,65212930.00,1
2021-02-22,196.00,205.00,196.00,205.00,9.63,139609.00,28476480.00,1
2021-02-23,215.00,223.00,185.00,198.00,-3.41,343660.00,66503359.00,-1
2021-02-24,207.00,207.00,187.00,190.00,-4.04,154510.00,30021893.00,-1
2021-02-25,199.00,199.00,184.00,186.00,-2.11,50754.00,9538887.00,-1
2021-02-28,186.00,186.00,178.00,180.00,-3.23,92316.00,16765555.00,-1
2021-03-01,178.00,189.00,173.00,182.00,1.11,57873.00,10469875.00,1
2021-03-02,181.00,185.00,175.00,179.00,-1.65,46619.00,8296519.00,-1
2021-03-03,178.00,179.00,170.00,173.00,-3.35,42817.00,7431176.00,-1
2021-03-04,176.00,186.00,174.00,182.00,5.20,58025.00,10445944.00,1
2021-03-07,184.00,190.00,179.00,182.00,0.00,51492.00,9415477.00,0
2021-03-09,183.00,185.00,179.00,184.00,1.10,60640.00,11037922.00,1
2021-03-10,185.00,191.00,182.00,185.00,0.54,91273.00,17140803.00,1
2021-03-14,188.00,188.00,180.00,183.00,-1.08,48257.00,8824628.00,-1
2021-03-15,183.00,187.00,179.00,183.00,0.00,47781.00,8685809.00,0
2021-03-16,192.00,192.00,178.00,179.00,-2.19,35212.00,6375374.00,-1
2021-03-17,181.00,186.00,180.00,185.00,3.35,28475.00,5218955.00,1
2021-03-18,194.00,203.00,191.00,198.00,7.03,258180.00,50971512.00,1
2021-03-21,205.00,207.00,193.00,195.00,-1.52,96307.00,18915468.00,-1
2021-03-22,198.00,198.00,192.00,193.00,-1.03,88803.00,17217397.00,-1
2021-03-23,195.00,204.00,193.00,201.00,4.15,183460.00,36618016.00,1
2021-03-24,205.00,219.00,200.00,213.00,5.97,233794.00,49277994.00,1
2021-03-25,215.00,223.00,206.00,209.00,-1.88,109754.00,23327452.00,-1
2021-03-29,205.00,211.00,202.00,203.00,-2.87,90418.00,18607246.00,-1
2021-03-30,206.00,216.00,203.00,211.00,3.94,121032.00,25243457.00,1
2021-03-31,213.00,216.00,208.00,209.00,-0.95,54658.00,11528695.00,-1
2021-04-01,219.00,219.00,206.00,209.00,0.00,103170.00,21522534.00,0
2021-04-04,213.00,213.00,207.00,208.00,-0.48,88031.00,18425108.00,-1
2021-04-05,200.00,215.00,200.00,214.00,2.88,130198.00,27525840.00,1
2021-04-06,214.00,235.00,211.00,235.00,9.81,271366.00,60378420.00,1
2021-04-07,246.00,258.00,237.00,247.00,5.11,337063.00,83824149.00,1
2021-04-08,255.00,256.00,240.00,243.00,-1.62,154562.00,38031849.00,-1
2021-04-12,245.00,246.00,231.00,236.00,-2.88,122476.00,28861882.00,-1
2021-04-13,236.00,240.00,230.00,235.00,-0.42,84437.00,19971524.00,-1
2021-04-15,246.00,246.00,231.00,234.00,-0.43,66407.00,15573101.00,-1
2021-04-18,238.00,242.00,230.00,231.00,-1.28,65061.00,15163540.00,-1
2021-04-19,228.00,238.00,228.00,230.00,-0.43,71167.00,16650654.00,-1
2021-04-20,233.00,236.00,229.00,231.00,0.43,57378.00,13282165.00,1
2021-04-21,240.00,240.00,231.00,234.00,1.30,67197.00,15770973.00,1
2021-04-22,231.00,235.00,230.00,234.00,0.00,49394.00,11536849.00,0
2021-04-25,240.00,242.00,223.00,223.00,-4.70,96943.00,22145315.00,-1
2021-04-26,219.00,227.00,214.00,215.00,-3.59,90353.00,19670967.00,-1
2021-04-27,218.00,229.00,216.00,227.00,5.58,54183.00,12156573.00,1
2021-04-28,230.00,233.00,223.00,227.00,0.00,35285.00,7995215.00,0
2021-04-29,227.00,235.00,227.00,232.00,2.20,37218.00,8547246.00,1
2021-05-02,236.00,236.00,229.00,233.00,0.43,52995.00,12297796.00,1
2021-05-03,235.00,237.00,229.00,230.00,-1.29,59952.00,13923401.00,-1
2021-05-04,233.00,252.00,226.00,242.00,5.22,172918.00,41297198.00,1
2021-05-05,245.00,254.00,242.00,249.00,2.89,141718.00,35190099.00,1
2021-05-06,248.00,256.00,237.00,239.00,-4.02,125204.00,30602147.00,-1
2021-05-09,228.00,244.00,228.00,234.00,-2.09,45538.00,10815573.00,-1
2021-05-10,232.00,242.00,232.00,238.00,1.71,46415.00,11024432.00,1
2021-05-11,228.00,245.00,228.00,240.00,0.84,37878.00,9103994.00,1
2021-05-12,244.00,250.00,237.00,245.00,2.08,171245.00,41919058.00,1
2021-05-13,257.00,257.00,246.00,251.00,2.45,187048.00,47233889.00,1
2021-05-16,251.00,256.00,244.00,245.00,-2.39,117201.00,28936944.00,-1
2021-05-17,257.00,265.00,243.00,260.00,6.12,187710.00,47869469.00,1
2021-05-18,267.00,286.00,260.00,286.00,10.00,342025.00,95738969.00,1
2021-05-19,290.00,299.00,272.00,272.00,-4.90,189290.00,53248777.00,-1
2021-05-20,280.00,280.00,263.00,266.00,-2.21,130286.00,34896688.00,-1
2021-05-23,261.00,283.00,253.00,276.00,3.76,142748.00,38789153.00,1
2021-05-24,280.00,286.00,272.00,276.00,0.00,175306.00,49124123.00,0
2021-05-25,281.00,303.00,276.00,293.00,6.16,411162.00,119217096.00,1
2021-05-27,290.00,322.00,288.00,322.00,9.90,327619.00,103280495.00,1
2021-05-30,335.00,352.00,310.00,324.00,0.62,404927.00,134128259.00,1
2021-05-31,340.00,340.00,299.00,302.00,-6.79,276653.00,85477878.00,-1
2021-06-01,317.00,317.00,291.00,299.00,-0.99,106165.00,31637085.00,-1
2021-06-02,285.00,328.00,285.00,314.00,5.02,182958.00,56007949.00,1
2021-06-03,317.00,326.00,298.00,303.00,-3.50,128354.00,39585189.00,-1
2021-06-06,295.00,308.00,291.00,294.00,-2.97,111004.00,32741380.00,-1
2021-06-07,280.00,316.00,280.00,308.00,4.76,111949.00,34227984.00,1
2021-06-08,293.00,335.00,293.00,331.00,7.47,312237.00,102372088.00,1
2021-06-09,340.00,340.00,315.00,321.00,-3.02,140375.00,45856405.00,-1
2021-06-10,305.00,353.00,305.00,353.00,9.97,464287.00,160847796.00,1
2021-06-13,365.00,388.00,350.00,388.00,9.92,369437.00,139699691.00,1
2021-06-14,407.00,407.00,371.00,379.00,-2.32,270323.00,104640315.00,-1
2021-06-15,385.00,390.00,356.00,363.00,-4.22,214076.00,78992479.00,-1
2021-06-16,361.00,370.00,328.00,343.00,-5.51,174902.00,60687824.00,-1
2021-06-17,326.00,362.00,326.00,344.00,0.29,110454.00,37786498.00,1
2021-06-20,327.00,360.00,321.00,335.00,-2.62,146080.00,49917762.00,-1
2021-06-21,336.00,353.00,314.00,316.00,-5.67,106452.00,34416897.00,-1
2021-06-22,331.00,347.00,303.00,347.00,9.81,99812.00,33458688.00,1
2021-06-23,330.00,365.00,330.00,337.00,-2.88,113540.00,39442934.00,-1
2021-06-24,331.00,350.00,327.00,335.00,-0.59,73190.00,24789211.00,-1
2021-06-27,341.00,349.00,329.00,330.00,-1.49,53433.00,17875015.00,-1
2021-06-28,336.00,341.00,322.00,324.00,-1.82,38664.00,12752235.00,-1
2021-06-29,330.00,330.00,309.00,310.00,-4.32,42341.00,13255828.00,-1
2021-06-30,325.00,325.00,300.00,313.00,0.97,70569.00,21609873.00,1
2021-07-01,319.00,334.00,314.00,318.00,1.60,43173.00,13859171.00,1
2021-07-04,324.00,328.00,308.00,312.00,-1.89,43096.00,13680342.00,-1
2021-07-05,311.00,318.00,306.00,310.00,-0.64,28113.00,8725440.00,-1
2021-07-06,295.00,318.00,295.00,310.00,0.00,26020.00,8068438.00,0
2021-07-07,304.00,310.00,297.00,299.00,-3.55,27630.00,8326183.00,-1
2021-07-08,296.00,310.00,296.00,302.00,1.00,25565.00,7761320.00,1
2021-07-11,308.00,329.00,302.00,329.00,8.94,44854.00,14294688.00,1
2021-07-12,335.00,341.00,313.00,315.00,-4.26,55152.00,17788812.00,-1
2021-07-13,310.00,324.00,310.00,318.00,0.95,19044.00,6077227.00,1
2021-07-14,318.00,330.00,316.00,330.00,3.77,46390.00,15031421.00,1
2021-07-15,336.00,347.00,328.00,338.00,2.42,89260.00,30434043.00,1
2021-07-18,344.00,350.50,339.10,342.00,1.18,79800.00,27537182.50,1
2021-07-19,348.00,350.00,336.00,340.00,-0.58,41349.00,14158322.80,-1
2021-07-20,333.20,352.00,333.20,347.00,2.06,122360.00,42500137.00,1
2021-07-22,340.10,360.00,340.10,354.00,2.02,113212.00,40127026.90,1
2021-07-25,354.00,379.00,348.00,376.90,6.47,159165.00,58626921.50,1
2021-07-26,369.40,391.60,365.00,370.00,-1.83,152771.00,57342606.60,-1
2021-07-27,362.70,407.00,362.70,395.00,6.76,399344.00,157806703.00,1
2021-07-28,402.90,427.00,385.00,390.00,-1.27,254832.00,102372426.70,-1
2021-07-29,390.00,399.80,376.00,398.00,2.05,180857.00,71237193.30,1
2021-08-01,400.00,434.00,396.80,421.90,6.01,375758.00,156935883.30,1
2021-08-02,430.00,438.60,412.00,417.00,-1.16,255411.00,108653361.30,-1
2021-08-03,425.30,433.80,408.70,432.00,3.60,165807.00,70352027.00,1
2021-08-04,440.00,474.00,431.70,454.00,5.09,283801.00,127878098.10,1
2021-08-05,455.00,455.00,429.00,431.00,-5.07,217102.00,95180565.30,-1
2021-08-08,431.00,470.00,423.10,464.00,7.66,312786.00,141284417.40,1
2021-08-09,471.10,490.00,452.00,479.10,3.25,247591.00,117211469.80,1
2021-08-10,488.60,524.00,468.00,472.00,-1.48,339827.00,167356888.50,-1
2021-08-11,472.00,500.40,472.00,490.00,3.81,235945.00,114705638.70,1
2021-08-12,499.80,499.80,478.00,480.20,-2.00,206086.00,99872617.60,-1
2021-08-15,475.20,479.00,440.00,454.00,-5.46,178639.00,81446980.50,-1
2021-08-16,462.90,478.00,441.10,469.50,3.41,121657.00,56766968.30,1
