published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1313.6,1445.0,1313.6,1445.0,10.0,150.0,212853.0,1
2025-12-09,1444.9,1589.5,1444.9,1589.5,10.01,140.0,218240.0,1
2025-12-10,1621.2,1748.4,1621.2,1748.4,7.85,130.0,224173.0,1
2025-12-11,1723.7,1923.2,1723.7,1923.2,11.57,310.0,589523.0,1
2025-12-14,1961.6,2115.5,1961.6,2115.5,7.85,460.0,969358.0,1
2025-12-15,2157.8,2327.0,2157.8,2327.0,7.84,450.0,1043003.0,1
2025-12-16,2373.5,2559.7,2373.5,2559.7,7.84,630.0,1608046.0,1
2025-12-17,2610.8,2815.6,2610.8,2815.6,7.84,570.0,1599873.0,1
2025-12-18,2815.6,3097.1,2815.6,3097.1,10.0,6010.0,18605237.0,1
2025-12-21,3159.0,3400.0,2860.2,2900.0,-8.2,44290.0,130528728.1,-1
2025-12-22,2900.0,2900.0,2740.0,2740.1,-5.51,22540.0,62919296.0,-1
2025-12-23,2690.0,3014.1,2690.0,2882.0,7.14,7680.0,21926680.0,1
2025-12-24,2890.0,2890.0,2806.8,2828.9,-2.11,4400.0,12516175.0,-1
2025-12-28,2801.0,2828.9,2770.1,2781.0,-0.71,7650.0,21292940.5,-1
2025-12-29,2833.0,2833.0,2730.0,2750.0,-2.93,5838.0,16114071.0,-1
2025-12-31,2750.0,2800.0,2745.3,2764.0,0.51,5950.0,16476770.1,1
2026-01-01,2750.0,2830.0,2742.3,2770.0,0.73,5516.0,15369013.1,1
2026-01-04,2750.0,2933.8,2736.0,2879.0,4.69,9435.0,26763312.5,1
2026-01-05,2879.1,3139.0,2840.1,3088.9,7.29,11487.0,34294877.3,1
2026-01-06,3088.9,3195.0,2961.0,2999.0,-2.91,7992.0,24270547.9,-1
2026-01-07,2942.0,3000.0,2870.0,2894.0,-1.63,7166.0,21062485.4,-1
2026-01-08,2894.0,2929.5,2866.1,2886.0,-0.28,5527.0,15987185.5,-1
2026-01-12,2886.0,2930.0,2851.0,2885.0,-0.03,4683.0,13594514.9,-1
2026-01-13,2871.0,2920.0,2871.0,2890.0,0.66,5018.0,14540429.1,1
2026-01-14,2926.0,2927.9,2846.0,2846.0,-2.73,4876.0,13957759.0,-1
2026-01-18,2900.0,2965.0,2867.0,2930.0,1.03,6876.0,20161270.9,1
2026-01-20,2988.6,3039.8,2968.0,3005.0,0.55,6691.0,20092493.2,1
2026-01-21,3005.0,3030.0,2945.1,2972.0,-1.1,5281.0,15703402.0,-1
