published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,780.0,788.0,779.9,788.0,1.03,4465.0,3495390.7,1
2025-12-09,803.0,803.0,782.3,787.0,-1.99,5925.0,4669776.4,-1
2025-12-10,802.0,802.0,787.0,789.0,-1.62,1594.0,1258111.7,-1
2025-12-11,804.0,804.0,777.8,792.8,-1.39,3726.0,2920576.6,-1
2025-12-14,785.0,786.0,777.8,786.0,0.13,4449.0,3469258.0,1
2025-12-15,777.0,780.2,771.0,780.0,0.39,7539.0,5844463.0,1
2025-12-16,785.0,785.0,772.0,780.0,-0.64,12149.0,9422676.7,-1
2025-12-17,795.0,795.0,775.2,780.0,-1.89,4472.0,3494290.7,-1
2025-12-18,791.7,791.7,778.2,780.2,-1.45,3435.0,2679655.3,-1
2025-12-21,775.0,785.0,770.7,785.0,1.29,2439.0,1894023.8,1
2025-12-22,790.0,790.0,772.0,774.3,-1.99,1900.0,1471635.1,-1
2025-12-23,784.0,784.0,768.4,773.0,-1.4,3193.0,2458679.9,-1
2025-12-24,782.0,782.0,766.1,768.0,-1.79,9489.0,7307698.5,-1
2025-12-28,738.0,738.0,727.4,736.0,-0.27,6105.0,4469019.3,-1
2025-12-29,738.9,746.0,735.0,739.0,0.01,5168.0,3808070.4,1
2025-12-31,739.0,748.0,738.0,739.0,0.0,5158.0,3835829.4,0
2026-01-01,739.0,745.6,730.4,737.0,-0.27,3682.0,2698663.5,-1
2026-01-04,751.0,751.0,730.0,739.0,-1.6,4777.0,3494146.3,-1
2026-01-05,728.0,742.0,728.0,739.0,1.51,1874.0,1380872.9,1
2026-01-06,743.9,745.0,736.0,739.4,-0.6,5773.0,4267792.9,-1
2026-01-07,740.0,745.0,735.0,736.0,-0.54,3229.0,2383281.7,-1
2026-01-08,740.0,743.0,734.6,740.0,0.0,9578.0,7078290.4,0
2026-01-12,740.0,742.5,730.1,730.1,-1.34,7149.0,5267053.3,-1
2026-01-13,728.5,735.0,726.1,735.0,0.89,4812.0,3501904.5,1
2026-01-14,730.0,736.0,724.8,734.0,0.55,6329.0,4611136.0,1
2026-01-18,745.0,748.0,736.0,747.0,0.27,10907.0,8089929.3,1
2026-01-20,761.9,761.9,744.0,753.0,-1.17,6455.0,4857125.8,-1
2026-01-21,750.0,757.0,747.0,754.0,0.53,3290.0,2471133.9,1
2026-01-22,757.0,757.0,735.0,747.0,-1.32,9050.0,6729457.9,-1
2026-01-25,756.0,761.0,747.0,761.0,0.66,15511.0,11727510.6,1
2026-01-26,765.0,775.0,761.0,770.0,0.65,10800.0,8292762.0,1
2026-01-27,778.0,778.0,748.0,762.0,-2.06,10981.0,8371602.6,-1
2026-01-28,760.0,760.0,745.0,752.0,-1.05,9602.0,7215789.5,-1
2026-01-29,743.1,753.0,743.1,752.0,1.2,8498.0,6358940.6,1
2026-02-01,740.0,756.9,740.0,745.0,0.68,2916.0,2172285.3,1
2026-02-02,745.0,750.8,741.0,745.0,0.0,5963.0,4458208.1,0
2026-02-03,755.0,755.0,728.0,746.9,-1.07,10877.0,8008053.6,-1
2026-02-04,755.0,755.0,735.0,740.0,-1.99,3085.0,2292512.0,-1
2026-02-05,735.0,746.0,735.0,740.0,0.68,6614.0,4893881.9,1
2026-02-08,732.0,785.0,732.0,736.0,0.55,12341.0,9131978.1,1
2026-02-09,747.0,747.0,730.0,736.0,-1.47,12456.0,9138669.3,-1
2026-02-10,735.0,740.0,730.0,732.0,-0.41,6223.0,4571551.6,-1
2026-02-11,743.0,743.0,730.0,734.0,-1.21,10134.0,7428785.2,-1
2026-02-12,735.0,736.5,726.0,732.9,-0.29,10683.0,7820968.1,-1
2026-02-16,732.0,735.0,730.0,735.0,0.41,4310.0,3154716.0,1
2026-02-17,731.0,736.0,728.0,730.0,-0.14,6987.0,5109373.5,-1
2026-02-22,740.9,740.9,725.0,725.2,-2.12,6218.0,4530502.6,-1
2026-02-23,722.0,730.0,722.0,725.4,0.47,5593.0,4053196.9,1
2026-02-24,728.0,734.5,725.4,734.0,0.82,4345.0,3165223.4,1
2026-02-25,730.1,735.0,726.1,733.8,0.51,6329.0,4632365.5,1
2026-02-26,740.0,740.0,729.0,729.0,-1.49,4687.0,3426421.5,-1
2026-03-01,725.0,738.5,718.0,735.0,1.38,4455.0,3242374.0,1
2026-03-03,749.7,749.7,733.1,746.9,-0.37,7517.0,5568564.6,-1
2026-03-09,761.0,792.0,761.0,792.0,4.07,303.0,232720.0,1
2026-03-10,792.0,792.0,763.0,777.0,-1.89,28888.0,22430526.0,-1
2026-03-11,780.0,780.0,765.0,765.0,-1.92,8366.0,6468805.8,-1
2026-03-12,755.0,775.0,755.0,773.5,2.45,7298.0,5597559.6,1
2026-03-15,788.0,788.0,761.0,770.0,-2.28,6471.0,4967938.7,-1
2026-03-16,785.3,785.3,760.0,763.0,-2.84,7494.0,5742337.3,-1
2026-03-17,778.0,778.0,756.0,757.0,-2.7,4913.0,3740942.8,-1
2026-03-19,767.0,775.0,759.0,768.0,0.13,15488.0,11864393.7,1
2026-03-22,783.0,816.0,775.0,804.9,2.8,53245.0,42508223.3,1
2026-03-23,804.9,820.0,794.0,803.0,-0.24,26350.0,21248924.0,-1
2026-03-24,819.0,819.0,795.1,805.0,-1.71,13673.0,10982639.3,-1
2026-03-25,805.0,805.0,790.0,790.0,-1.86,10844.0,8593715.7,-1
