published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,694.0,703.0,686.0,690.0,-0.58,1893.0,1308202.8,-1
2025-12-09,683.0,699.9,683.0,685.1,0.31,8075.0,5598377.0,1
2025-12-10,677.0,689.9,677.0,685.0,1.18,2832.0,1937280.7,1
2025-12-11,677.0,685.0,677.0,682.5,0.81,3690.0,2506304.2,1
2025-12-14,689.0,690.0,675.4,682.0,-1.02,1423.0,971655.0,-1
2025-12-15,670.2,694.0,670.1,685.0,2.21,4553.0,3112622.9,1
2025-12-16,686.0,703.9,677.0,697.0,1.6,5910.0,4105984.7,1
2025-12-17,697.0,706.9,689.5,698.9,0.27,2225.0,1550573.0,1
2025-12-18,695.0,698.0,681.2,692.9,-0.3,2576.0,1771034.2,-1
2025-12-21,679.1,679.1,666.0,674.5,-0.68,7477.0,5008251.3,-1
2025-12-22,665.1,671.1,662.0,666.0,0.14,2551.0,1698398.9,1
2025-12-23,661.2,671.0,656.1,667.0,0.88,3300.0,2180677.2,1
2025-12-24,655.0,673.0,653.8,667.9,1.97,1583.0,1049620.0,1
2025-12-28,667.0,679.0,662.0,679.0,1.8,3908.0,2622224.4,1
2025-12-29,691.0,691.0,667.0,680.0,-1.59,2144.0,1437094.2,-1
2025-12-31,668.3,684.0,668.3,684.0,2.35,1831.0,1239317.5,1
2026-01-01,681.0,685.0,668.0,673.0,-1.17,2636.0,1771951.7,-1
2026-01-04,673.0,675.0,662.0,673.5,0.07,3419.0,2292257.4,1
2026-01-05,680.0,680.0,669.0,676.0,-0.59,1560.0,1047044.9,-1
2026-01-06,669.0,695.0,664.1,678.8,1.46,1935.0,1306379.3,1
2026-01-07,680.0,680.0,673.0,680.0,0.0,2698.0,1827679.0,0
2026-01-08,666.4,680.0,666.4,676.1,1.46,1898.0,1278598.7,1
2026-01-12,668.0,680.0,665.0,676.8,1.32,3771.0,2522781.2,1
2026-01-13,670.0,679.0,666.2,678.0,1.19,1545.0,1036010.4,1
2026-01-14,666.0,675.0,664.5,675.0,1.35,2698.0,1802234.7,1
2026-01-18,683.0,686.2,677.6,685.0,0.29,3653.0,2494280.7,1
2026-01-20,686.0,710.0,686.0,702.0,2.33,8298.0,5807970.6,1
2026-01-21,713.9,713.9,694.0,695.0,-2.65,4455.0,3113625.8,-1
2026-01-22,681.1,700.0,671.1,699.0,2.63,3405.0,2350852.0,1
2026-01-25,697.1,722.0,697.0,719.0,3.14,8796.0,6242750.9,1
2026-01-26,707.1,721.2,706.0,708.0,0.13,9798.0,6967356.5,1
2026-01-27,708.0,714.0,690.0,690.1,-2.53,10563.0,7370313.2,-1
2026-01-28,680.1,697.9,680.1,695.0,2.19,2296.0,1580224.2,1
2026-01-29,682.1,690.0,682.1,688.0,0.86,2872.0,1971394.7,1
2026-02-01,701.0,701.0,671.0,671.0,-4.28,8779.0,5940029.5,-1
2026-02-02,671.0,683.0,670.0,679.0,1.19,2611.0,1754711.8,1
2026-02-03,671.1,681.9,668.1,680.0,1.33,6053.0,4057571.7,1
2026-02-04,669.0,685.0,669.0,685.0,2.39,1305.0,883804.5,1
2026-02-05,673.0,681.0,669.0,676.0,0.45,9541.0,6413361.5,1
2026-02-08,677.1,686.0,673.0,673.0,-0.61,2968.0,2015595.0,-1
2026-02-09,672.0,673.0,651.7,670.0,-0.3,7994.0,5270309.8,-1
2026-02-10,662.0,672.0,660.0,660.2,-0.27,4621.0,3062311.2,-1
2026-02-11,670.0,670.0,659.0,659.0,-1.64,8121.0,5379695.2,-1
2026-02-12,650.2,676.0,650.2,675.0,3.81,6098.0,4053687.0,1
2026-02-16,670.0,670.0,664.0,669.0,-0.15,2138.0,1422964.0,-1
2026-02-17,657.0,669.0,656.1,661.0,0.61,2082.0,1372842.9,1
2026-02-22,655.0,660.0,655.0,656.0,0.15,1641.0,1077340.7,1
2026-02-23,646.6,660.0,646.6,660.0,2.07,679.0,445050.1,1
2026-02-24,660.0,665.0,652.0,664.5,0.68,676.0,444424.3,1
2026-02-25,657.1,672.0,657.1,659.6,0.38,2210.0,1468757.5,1
