published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,686.0,699.0,681.9,697.9,1.73,3543.0,2455391.4,1
2025-12-09,697.9,721.8,695.0,719.9,3.15,17089.0,12167082.4,1
2025-12-10,734.0,779.1,733.0,771.3,5.08,38247.0,29050436.1,1
2025-12-11,755.9,800.0,735.0,735.0,-2.76,7267.0,5511186.9,-1
2025-12-14,720.3,740.0,705.0,716.0,-0.6,11008.0,7914520.6,-1
2025-12-15,701.7,720.0,701.7,716.0,2.04,3580.0,2563569.3,1
2025-12-16,724.0,729.7,712.0,716.0,-1.1,4359.0,3127916.9,-1
2025-12-17,712.0,744.0,711.0,744.0,4.49,13891.0,10150821.1,1
2025-12-18,750.5,750.5,725.0,725.0,-3.4,6080.0,4453590.5,-1
2025-12-21,713.0,730.0,711.0,715.0,0.28,4851.0,3470234.9,1
