published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,455.0,460.0,452.1,452.3,-0.59,11572.0,5275773.5,-1
2025-12-09,445.3,459.0,445.3,459.0,3.08,8735.0,3945546.3,1
2025-12-10,459.0,474.0,449.9,454.9,-0.89,17653.0,8002715.6,-1
2025-12-11,446.2,460.0,446.2,447.0,0.18,13328.0,5987729.6,1
2025-12-14,445.0,463.0,445.0,447.0,0.45,10588.0,4747375.5,1
2025-12-15,444.1,452.0,444.0,450.0,1.33,7039.0,3142605.9,1
2025-12-16,444.5,456.0,444.5,455.0,2.36,7070.0,3191768.9,1
2025-12-17,458.9,462.3,453.3,456.9,-0.44,6877.0,3132249.5,-1
2025-12-18,456.0,456.0,448.2,451.0,-1.1,7342.0,3309491.4,-1
2025-12-21,446.0,455.0,442.1,449.0,0.67,22371.0,10096086.1,1
2025-12-22,443.0,448.0,440.2,444.9,0.43,7587.0,3360682.3,1
2025-12-23,442.0,448.0,442.0,447.0,1.13,10181.0,4527335.9,1
