published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,3665.2,3666.0,3400.1,3633.9,-0.85,2446.0,8673130.0,-1
2025-12-09,3561.3,3932.0,3491.0,3614.0,1.48,3438.0,12232676.0,1
2025-12-10,3542.0,3830.0,3475.0,3508.0,-0.96,1645.0,5801244.5,-1
2025-12-11,3577.0,3858.8,3456.0,3606.0,0.81,859.0,3034156.6,1
2025-12-14,3534.0,3580.0,3490.0,3548.9,0.42,556.0,1945931.0,1
2025-12-15,3481.0,3529.9,3455.0,3518.9,1.09,296.0,1031703.4,1
2025-12-16,3448.6,3657.0,3381.1,3598.0,4.33,1961.0,6741432.5,1
2025-12-17,3639.9,3639.9,3415.0,3549.0,-2.5,2214.0,7610208.6,-1
2025-12-18,3479.0,3480.0,3410.2,3474.0,-0.14,1153.0,3946367.6,-1
2025-12-21,3450.0,3450.0,3387.1,3450.0,0.0,1401.0,4768975.0,0
2025-12-22,3390.1,3449.0,3390.0,3440.0,1.47,70.0,239091.0,1
2025-12-23,3400.0,3475.0,3376.0,3450.0,1.47,198.0,674176.0,1
2025-12-24,3490.0,3490.0,3386.0,3439.0,-1.46,68.0,232769.6,-1
2025-12-28,3372.0,3480.0,3372.0,3460.0,2.61,765.0,2622036.0,1
2025-12-29,3500.0,3500.0,3435.0,3450.0,-1.43,111.0,384440.0,-1
2025-12-31,3390.0,3500.0,3390.0,3475.9,2.53,254.0,867510.5,1
2026-01-01,3406.4,3575.0,3370.0,3480.0,2.16,916.0,3141979.5,1
2026-01-04,3410.4,3672.0,3372.0,3480.0,2.04,1206.0,4156195.6,1
2026-01-05,3440.0,3498.9,3420.0,3490.0,1.45,645.0,2215971.0,1
2026-01-06,3420.2,3499.0,3420.2,3472.8,1.54,757.0,2599504.4,1
2026-01-07,3472.8,3493.5,3361.0,3493.5,0.6,4076.0,13895617.7,1
2026-01-08,3424.5,3467.1,3368.1,3450.0,0.74,1009.0,3420373.9,1
2026-01-12,3382.1,3450.0,3322.0,3450.0,2.01,2582.0,8723782.9,1
2026-01-13,3450.0,3450.0,3325.0,3419.8,-0.88,1583.0,5317684.0,-1
2026-01-14,3352.0,3415.0,3331.1,3400.0,1.43,712.0,2387207.0,1
2026-01-18,3435.0,3439.9,3265.4,3400.0,-1.02,622.0,2098012.0,-1
2026-01-20,3400.0,3414.9,3350.0,3362.0,-1.12,651.0,2194700.7,-1
2026-01-21,3362.0,3382.9,3350.5,3350.5,-0.34,310.0,1039710.4,-1
2026-01-22,3350.0,3397.9,3335.0,3373.0,0.69,1313.0,4405816.4,1
2026-01-25,3351.0,3400.0,3351.0,3360.0,0.27,673.0,2266687.6,1
2026-01-26,3350.0,3399.9,3322.3,3336.1,-0.41,1050.0,3515441.7,-1
2026-01-27,3336.1,3355.0,3225.0,3225.0,-3.33,1700.0,5599481.4,-1
2026-01-28,3289.5,3400.0,3255.0,3290.0,0.02,825.0,2732898.4,1
2026-01-29,3290.0,3349.0,3252.0,3300.0,0.3,817.0,2675120.2,1
2026-02-01,3260.0,3300.0,3251.0,3299.0,1.2,747.0,2433342.4,1
2026-02-02,3299.0,3300.0,3202.4,3221.0,-2.36,1351.0,4380567.5,-1
2026-02-03,3280.0,3285.4,3221.0,3272.0,-0.24,559.0,1806384.6,-1
2026-02-04,3260.0,3292.0,3218.0,3288.0,0.86,633.0,2054832.0,1
2026-02-05,3225.1,3289.0,3225.1,3259.0,1.05,396.0,1288191.2,1
2026-02-08,3290.0,3299.0,3235.0,3278.9,-0.34,310.0,1015727.0,-1
2026-02-09,3278.9,3278.9,3200.1,3225.0,-1.64,636.0,2049339.9,-1
2026-02-10,3160.5,3353.0,3160.5,3290.0,4.1,362.0,1174829.0,1
2026-02-11,3224.2,3420.0,3200.0,3275.0,1.58,624.0,2019112.6,1
2026-02-12,3236.0,3270.0,3173.1,3253.8,0.55,1193.0,3814062.8,1
2026-02-16,3200.0,3260.0,3153.0,3228.0,0.88,673.0,2141182.0,1
2026-02-17,3165.0,3209.0,3103.0,3189.0,0.76,1068.0,3358465.9,1
2026-02-22,3140.1,3187.0,3127.0,3187.0,1.49,744.0,2332669.0,1
2026-02-23,3150.0,3185.0,3108.9,3165.0,0.48,590.0,1840795.2,1
2026-02-24,3102.0,3199.0,3050.0,3159.0,1.84,612.0,1916557.8,1
2026-02-25,3195.0,3195.0,3111.0,3166.0,-0.91,383.0,1206597.5,-1
2026-02-26,3187.0,3187.0,3110.0,3170.0,-0.53,157.0,490328.0,-1
2026-03-01,3107.0,3190.0,3090.0,3118.0,0.35,460.0,1435176.5,1
2026-03-03,3180.0,3225.0,3121.0,3205.0,0.79,665.0,2102549.4,1
2026-03-09,3269.1,3400.0,3269.1,3400.0,4.0,70.0,233393.0,1
2026-03-10,3468.0,3468.0,3207.0,3345.0,-3.55,1618.0,5304753.6,-1
2026-03-11,3278.1,3300.0,3212.6,3288.0,0.3,1069.0,3470425.0,1
2026-03-12,3222.3,3278.0,3177.0,3270.0,1.48,465.0,1495860.0,1
2026-03-15,3204.6,3465.0,3157.0,3300.0,2.98,2169.0,7023581.6,1
2026-03-16,3234.0,3430.0,3170.1,3289.0,1.7,1168.0,3731088.7,1
2026-03-17,3223.3,3340.0,3160.0,3248.0,0.77,515.0,1651807.6,1
2026-03-19,3183.1,3269.0,3119.5,3245.0,1.94,500.0,1612687.9,1
2026-03-22,3246.0,3290.0,3181.1,3255.0,0.28,2646.0,8556852.2,1
2026-03-23,3255.0,3280.0,3219.0,3264.9,0.3,873.0,2834334.9,1
2026-03-24,3206.0,3250.0,3200.2,3250.0,1.37,588.0,1885042.8,1
2026-03-25,3242.0,3245.0,3200.0,3239.9,-0.06,1271.0,4080024.2,-1
2026-03-26,3220.0,3285.0,3182.0,3265.0,1.4,1278.0,4114144.5,1
2026-03-29,3200.0,3222.9,3150.0,3222.9,0.72,1248.0,3983197.0,1
2026-03-30,3200.0,3200.0,3136.0,3196.0,-0.12,949.0,2994238.5,-1
2026-03-31,3196.0,3196.0,3061.0,3170.0,-0.81,3216.0,10062881.0,-1
2026-04-01,3200.0,3209.9,3100.0,3174.0,-0.81,701.0,2197656.4,-1
2026-04-02,3111.0,3210.0,3085.0,3130.0,0.61,1465.0,4615787.2,1
