published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-10-10,581.50,599.80,576.00,588.00,1.20,11100.00,6520001.40,1
2021-10-11,589.90,589.90,567.20,580.00,-1.36,5976.00,3442812.50,-1
2021-10-17,569.70,587.00,569.70,585.00,0.86,4000.00,2325807.00,1
2021-10-18,580.00,585.00,570.00,577.00,-1.37,12270.00,7077621.00,-1
2021-10-19,566.00,574.00,560.00,560.30,-2.89,11053.00,6267207.50,-1
2021-10-20,565.00,580.00,565.00,573.90,2.43,6445.00,3682293.50,1
2021-10-21,563.00,571.00,561.10,570.00,-0.68,6075.00,3439066.80,-1
2021-10-24,560.00,570.00,559.10,570.00,0.00,7451.00,4207726.20,0
2021-10-25,581.00,602.90,563.50,595.00,4.39,14869.00,8762859.00,1
2021-10-26,595.00,651.00,595.00,640.00,7.56,18559.00,11448010.40,1
2021-10-27,640.00,673.00,625.00,658.00,2.81,30829.00,19863293.80,1
2021-10-28,645.00,654.00,633.00,647.00,-1.67,15821.00,10184437.10,-1
2021-10-31,640.00,677.20,636.10,672.00,3.86,22956.00,15046704.50,1
2021-11-01,665.00,690.00,662.00,675.00,0.45,25385.00,17045369.00,1
2021-11-02,688.20,701.90,657.10,698.00,3.41,27616.00,18871515.90,1
2021-11-03,686.00,700.00,678.00,686.00,-1.72,15505.00,10677987.00,-1
2021-11-08,675.10,677.00,665.00,665.00,-3.06,13959.00,9330223.90,-1
2021-11-09,655.00,665.00,628.00,628.00,-5.56,24584.00,15697894.00,-1
2021-11-11,615.50,630.00,607.00,618.00,-1.59,19554.00,12143119.00,-1
2021-11-14,610.00,633.00,610.00,617.50,-0.08,13330.00,8262494.40,-1
2021-11-15,620.00,660.00,610.00,655.00,6.07,46911.00,29715067.00,1
2021-11-16,655.00,708.00,645.00,695.10,6.12,71194.00,49191436.10,1
2021-11-17,682.10,723.00,677.00,686.00,-1.31,34977.00,24202120.30,-1
2021-11-18,685.00,695.00,661.00,681.00,-0.73,45740.00,31206195.00,-1
2021-11-21,681.00,690.00,675.00,684.00,0.44,34148.00,23290910.00,1
2021-11-22,671.00,703.00,671.00,688.90,0.72,46919.00,32281657.20,1
2021-11-23,678.00,691.00,660.00,662.00,-3.90,23864.00,16031487.40,-1
2021-11-24,651.00,672.00,648.80,668.00,0.91,33655.00,22264045.50,1
2021-11-25,655.00,681.00,651.00,670.00,0.30,17213.00,11428331.70,1
2021-11-28,657.00,662.00,631.20,649.00,-3.13,23124.00,14925607.60,-1
2021-11-29,636.10,663.00,630.00,636.30,-1.96,12120.00,7827783.00,-1
2021-11-30,630.00,660.00,626.00,645.00,1.37,11115.00,7048474.50,1
2021-12-01,635.00,660.00,632.50,643.00,-0.31,9008.00,5818716.00,-1
2021-12-02,630.30,643.00,621.00,627.00,-2.49,13450.00,8463828.90,-1
2021-12-05,615.00,627.00,605.00,611.00,-2.55,16723.00,10233212.00,-1
2021-12-06,600.00,650.00,595.90,648.90,6.20,21830.00,13414897.00,1
2021-12-07,648.00,660.00,613.00,621.00,-4.30,14900.00,9471541.60,-1
2021-12-08,609.00,630.00,592.00,608.00,-2.09,15725.00,9532685.10,-1
2021-12-09,600.00,620.00,590.00,613.00,0.82,12942.00,7868186.50,1
2021-12-12,605.00,608.00,575.00,583.00,-4.89,32988.00,19301739.40,-1
2021-12-13,572.00,576.00,552.90,558.00,-4.29,15635.00,8823167.60,-1
2021-12-14,557.00,590.00,550.00,586.00,5.02,9810.00,5633455.00,1
2021-12-15,597.70,621.00,574.00,577.20,-1.50,16278.00,9579018.00,-1
2021-12-16,566.10,572.00,550.00,558.00,-3.33,18185.00,10132378.00,-1
2021-12-20,558.00,569.00,540.00,549.80,-1.47,9960.00,5449354.00,-1
2021-12-21,560.00,566.00,540.20,562.00,2.22,10780.00,5996046.00,1
2021-12-22,569.00,616.00,558.60,613.00,9.07,23899.00,13933433.50,1
2021-12-23,610.00,625.20,577.00,615.00,0.33,32607.00,19839038.00,1
2021-12-26,615.00,676.20,601.00,671.00,9.11,71638.00,46615370.10,1
2021-12-27,680.00,684.00,629.00,634.00,-5.51,63278.00,40892223.60,-1
2021-12-28,621.40,637.00,612.10,630.00,-0.63,18610.00,11604965.00,-1
2021-12-29,629.90,635.00,619.30,628.00,-0.32,14648.00,9194486.50,-1
2022-01-02,621.00,651.60,618.00,651.00,3.66,26846.00,17123023.50,1
2022-01-03,660.00,672.00,641.00,660.00,1.38,33079.00,21606328.90,1
2022-01-04,668.00,682.00,643.00,659.00,-0.15,32775.00,21823151.00,-1
2022-01-05,646.00,672.00,646.00,647.00,-1.82,22432.00,14704260.30,-1
2022-01-06,635.10,683.00,635.10,661.00,2.16,40322.00,26332116.70,1
2022-01-09,674.00,679.20,662.00,679.20,2.75,36047.00,24142601.40,1
2022-01-10,667.00,692.00,663.00,674.00,-0.77,38613.00,25902814.80,-1
2022-01-11,670.00,718.00,662.00,710.00,5.34,99537.00,69795244.80,1
2022-01-12,718.00,718.00,680.00,683.10,-3.79,57716.00,40109948.60,-1
2022-01-13,683.00,700.20,680.00,700.00,2.47,30465.00,21103915.40,1
2022-01-16,700.00,724.00,700.00,714.00,2.00,70653.00,50273605.70,1
2022-01-17,714.00,725.00,693.00,705.00,-1.26,46044.00,32413139.30,-1
2022-01-18,705.00,710.00,686.00,700.00,-0.71,41003.00,28482140.50,-1
2022-01-19,691.00,703.00,686.00,687.20,-1.83,32239.00,22353190.50,-1
2022-01-20,675.00,706.80,675.00,703.00,2.30,43600.00,30184647.50,1
2022-01-23,705.00,718.00,697.00,702.00,-0.14,73672.00,52190861.60,-1
2022-01-24,700.00,704.00,678.00,678.00,-3.42,54635.00,37600651.50,-1
2022-01-25,679.00,715.00,672.00,688.00,1.47,48467.00,33329882.20,1
2022-01-26,681.00,694.60,672.50,684.00,-0.58,20211.00,13714188.20,-1
2022-01-27,682.00,697.00,675.00,682.00,-0.29,13580.00,9252788.00,-1
2022-01-30,690.00,718.00,690.00,712.00,4.40,68847.00,48617884.70,1
2022-01-31,712.00,720.00,698.30,706.00,-0.84,41005.00,28958977.90,-1
2022-02-01,706.00,719.00,692.20,712.00,0.85,46870.00,33390688.50,1
2022-02-03,715.00,734.00,713.00,720.00,1.12,108631.00,78811902.50,1
2022-02-06,718.00,724.00,707.00,715.00,-0.69,45891.00,32738499.00,-1
2022-02-07,702.00,725.00,702.00,724.00,1.26,41351.00,29695251.70,1
2022-02-08,738.40,738.40,706.00,713.00,-1.52,39016.00,28045856.40,-1
2022-02-09,705.00,710.00,696.10,700.00,-1.82,31129.00,21787295.50,-1
2022-02-10,690.00,705.00,689.00,700.00,0.00,18200.00,12707642.70,0
2022-02-13,686.00,694.90,661.00,677.00,-3.29,42222.00,28383189.00,-1
2022-02-14,677.00,685.00,666.00,667.00,-1.48,10458.00,7053125.50,-1
2022-02-15,667.00,688.00,665.20,688.00,3.15,9095.00,6113356.00,1
2022-02-16,688.00,690.00,675.10,679.00,-1.31,14785.00,10111807.50,-1
2022-02-17,666.00,688.00,666.00,684.80,0.85,15970.00,10880635.20,1
2022-02-20,672.00,678.00,658.60,660.30,-3.58,25355.00,16914493.00,-1
2022-02-21,660.00,670.00,660.00,668.00,1.17,11318.00,7519742.20,1
2022-02-22,660.10,678.00,660.10,670.00,0.30,9587.00,6418707.00,1
2022-02-23,670.00,674.00,661.00,667.00,-0.45,8032.00,5349279.80,-1
2022-02-24,654.00,660.10,645.00,649.00,-2.70,15690.00,10233523.80,-1
2022-02-27,638.00,650.00,636.00,641.00,-1.23,6591.00,4227740.60,-1
2022-02-28,650.00,650.00,611.00,620.00,-3.28,17866.00,11188604.50,-1
2022-03-02,632.40,632.40,599.00,610.00,-1.61,11000.00,6649462.70,-1
2022-03-06,601.00,610.00,593.00,604.00,-0.98,11688.00,7009497.00,-1
2022-03-07,593.00,609.00,588.00,599.90,-0.68,10041.00,6051054.00,-1
2022-03-09,596.00,610.00,591.10,607.90,1.33,6380.00,3805967.00,1
2022-03-10,620.00,630.20,595.10,630.20,3.67,11892.00,7305394.80,1
2022-03-13,642.80,671.00,631.10,664.90,5.51,27846.00,18252233.70,1
2022-03-14,665.00,677.00,640.00,661.10,-0.57,6298.00,4145185.00,-1
2022-03-15,662.00,668.00,650.00,665.00,0.59,18063.00,11917814.40,1
2022-03-16,652.00,668.00,650.10,660.00,-0.75,22583.00,14849664.60,-1
2022-03-20,660.00,673.00,648.00,652.00,-1.21,19174.00,12549821.00,-1
2022-03-21,640.00,666.00,640.00,662.00,1.53,8395.00,5485492.00,1
2022-03-22,662.00,670.00,650.00,664.00,0.30,9586.00,6374310.40,1
