published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,47420.0,47420.0,47000.0,47000.0,-0.89,27.0,1269701.4,-1
2025-12-09,47000.0,47000.0,47000.0,47000.0,0.0,2.0,92128.2,0
2025-12-10,47000.0,47000.0,46600.0,46600.0,-0.85,20.0,936000.0,-1
2025-12-11,47530.0,47530.0,47530.0,47530.0,0.0,12.0,568458.8,0
2025-12-14,47000.0,47195.0,46583.0,46583.0,-0.89,75.0,3528495.0,-1
2025-12-15,46900.0,46950.0,46900.0,46900.0,0.0,40.0,1877000.0,0
2025-12-16,47000.0,47000.0,46995.0,47000.0,0.0,60.0,2819950.0,0
2025-12-17,47000.0,47000.0,47000.0,47000.0,0.0,11.0,517939.0,0
2025-12-18,46500.0,47190.0,46500.0,47190.0,1.48,80.0,3732900.0,1
2025-12-22,47190.0,47190.0,46998.2,46998.2,-0.41,40.0,1881882.0,-1
2025-12-23,46995.0,46995.0,46995.0,46995.0,0.0,10.0,469950.0,0
2025-12-24,47100.0,47200.0,47100.0,47200.0,0.21,30.0,1414000.0,1
2025-12-28,46800.0,47100.0,46800.0,47000.0,0.43,50.0,2349000.0,1
2025-12-29,46500.1,46552.0,46500.1,46552.0,0.11,20.0,930521.0,1
2025-12-31,47400.0,47500.0,47000.0,47199.0,-0.42,80.0,3783980.0,-1
2026-01-01,47199.0,47199.0,47000.0,47000.0,-0.42,66.0,3103990.0,-1
2026-01-04,47505.0,47505.0,47000.0,47000.1,-1.06,90.0,4235051.0,-1
2026-01-06,47400.0,47400.0,47000.0,47300.0,-0.21,50.0,2359000.0,-1
2026-01-07,47000.0,47000.0,47000.0,47000.0,0.0,10.0,470000.0,0
2026-01-08,47000.0,47000.0,46800.1,46800.1,-0.43,72.0,3376303.1,-1
2026-01-12,47200.0,47200.0,46600.1,46600.1,-1.27,47.0,2207433.3,-1
2026-01-13,47532.0,47532.0,47100.0,47100.0,-0.91,25.0,1183980.0,-1
2026-01-14,47100.0,47100.0,46500.1,47100.0,0.0,22.0,1032043.0,0
