published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-02-07,236.00,238.00,233.00,238.00,0.00,59830.00,14111779.00,0
2019-02-10,237.00,238.00,229.00,231.00,-2.94,59960.00,13938900.00,-1
2019-02-11,231.00,237.00,227.00,232.00,0.43,61013.00,14065694.00,1
2019-02-12,232.00,232.00,230.00,231.00,-0.43,38083.00,8790743.00,-1
2019-02-13,230.00,232.00,229.00,230.00,-0.43,41724.00,9613300.00,-1
2019-02-14,227.00,228.00,224.00,228.00,-0.87,69628.00,15711303.00,-1
2019-02-17,225.00,231.00,225.00,226.00,-0.88,45386.00,10294478.00,-1
2019-02-18,223.00,225.00,220.00,221.00,-2.21,51862.00,11492149.00,-1
2019-02-19,223.00,232.00,219.00,232.00,4.98,57539.00,12793830.00,1
2019-02-20,231.00,233.00,223.00,224.00,-3.45,41490.00,9350595.00,-1
2019-02-21,222.00,228.00,222.00,225.00,0.45,32296.00,7227554.00,1
2019-02-24,224.00,226.00,220.00,222.00,-1.33,46222.00,10237995.00,-1
2019-02-25,220.00,226.00,220.00,224.00,0.90,35508.00,7886542.00,1
2019-02-26,225.00,225.00,221.00,223.00,-0.45,34122.00,7597841.00,-1
2019-02-27,224.00,228.00,223.00,224.00,0.45,26480.00,5959027.00,1
2019-03-03,224.00,225.00,222.00,222.00,-0.89,40964.00,9164105.00,-1
2019-03-05,222.00,225.00,221.00,224.00,0.90,34553.00,7707213.00,1
2019-03-06,223.00,226.00,222.00,226.00,0.89,25338.00,5677765.00,1
2019-03-07,228.00,231.00,225.00,230.00,1.77,47328.00,10764538.00,1
2019-03-10,230.00,234.00,226.00,230.00,0.00,43195.00,9855344.00,0
2019-03-11,232.00,238.00,228.00,235.00,2.17,73683.00,17159956.00,1
2019-03-12,235.00,246.00,234.00,245.00,4.26,96193.00,23076152.00,1
2019-03-13,244.00,248.00,237.00,239.00,-2.45,71758.00,17375578.00,-1
2019-03-14,240.00,241.00,235.00,240.00,0.42,57279.00,13663320.00,1
2019-03-17,240.00,246.00,240.00,245.00,2.08,59409.00,14506943.00,1
2019-03-18,245.00,248.00,242.00,242.00,-1.22,36699.00,8996703.00,-1
2019-03-19,242.00,245.00,241.00,242.00,0.00,19638.00,4771501.00,0
2019-03-21,242.00,245.00,238.00,240.00,-0.83,38970.00,9365431.00,-1
2019-03-24,240.00,242.00,235.00,239.00,-0.42,41392.00,9872309.00,-1
2019-03-25,238.00,241.00,236.00,240.00,0.42,35260.00,8436025.00,1
2019-03-26,237.00,241.00,237.00,241.00,0.42,31029.00,7417514.00,1
2019-03-27,237.00,241.00,236.00,240.00,-0.41,27337.00,6529071.00,-1
2019-03-28,239.00,241.00,238.00,240.00,0.00,24176.00,5779898.00,0
2019-03-31,240.00,241.00,237.00,239.00,-0.42,38545.00,9214296.00,-1
2019-04-01,239.00,239.00,236.00,238.00,-0.42,35591.00,8455362.00,-1
2019-04-02,237.00,240.00,237.00,237.00,-0.42,30721.00,7314227.00,-1
2019-04-03,238.00,240.00,235.00,235.00,-0.84,41796.00,9900650.00,-1
2019-04-04,236.00,238.00,235.00,237.00,0.85,45323.00,10707286.00,1
2019-04-07,236.00,237.00,234.00,235.00,-0.84,43463.00,10225687.00,-1
2019-04-08,235.00,237.00,232.00,235.00,0.00,43356.00,10163898.00,0
2019-04-09,233.00,236.00,232.00,233.00,-0.85,19124.00,4479488.00,-1
2019-04-10,231.00,235.00,231.00,232.00,-0.43,40755.00,9458750.00,-1
2019-04-11,232.00,233.00,230.00,232.00,0.00,53054.00,12281389.00,0
2019-04-15,233.00,233.00,226.00,230.00,-0.86,31609.00,7254128.00,-1
2019-04-16,230.00,234.00,228.00,230.00,0.00,31491.00,7241007.00,0
2019-04-17,230.00,232.00,228.00,229.00,-0.43,36025.00,8288070.00,-1
2019-04-18,231.00,231.00,227.00,229.00,0.00,23918.00,5472668.00,0
2019-04-21,229.00,229.00,225.00,228.00,-0.44,29902.00,6782209.00,-1
2019-04-22,230.00,235.00,228.00,230.00,0.88,39434.00,9090459.00,1
2019-04-23,234.00,234.00,229.00,230.00,0.00,19172.00,4419340.00,0
2019-04-24,228.00,232.00,227.00,228.00,-0.87,34195.00,7847943.00,-1
2019-04-25,228.00,231.00,227.00,227.00,-0.44,59996.00,13672853.00,-1
2019-04-28,228.00,244.00,228.00,237.00,4.41,89256.00,20937532.00,1
2019-04-29,239.00,240.00,231.00,238.00,0.42,35542.00,8343034.00,1
2019-04-30,239.00,249.00,233.00,244.00,2.52,156692.00,37911488.00,1
2019-05-02,247.00,247.00,237.00,242.00,-0.82,58023.00,13973411.00,-1
2019-05-05,239.00,241.00,234.00,236.00,-2.48,33682.00,7943227.00,-1
2019-05-06,235.00,236.00,231.00,236.00,0.00,34550.00,8049714.00,0
2019-05-07,238.00,238.00,233.00,238.00,0.85,40464.00,9543747.00,1
2019-05-08,240.00,240.00,232.00,234.00,-1.68,26687.00,6253896.00,-1
2019-05-09,233.00,240.00,232.00,234.00,0.00,22988.00,5384246.00,0
2019-05-12,234.00,236.00,231.00,233.00,-0.43,45907.00,10673400.00,-1
2019-05-13,232.00,244.00,231.00,244.00,4.72,91650.00,21908252.00,1
2019-05-14,247.00,254.00,244.00,249.00,2.05,127228.00,31611910.00,1
2019-05-15,248.00,254.00,246.00,246.00,-1.20,59616.00,14870412.00,-1
2019-05-16,245.00,249.00,244.00,246.00,0.00,49168.00,12084736.00,0
2019-05-19,246.00,247.00,243.00,245.00,-0.41,32329.00,7924793.00,-1
2019-05-20,246.00,256.00,243.00,253.00,3.27,118603.00,29606504.00,1
2019-05-21,253.00,278.00,250.00,278.00,9.88,186015.00,49697524.00,1
2019-05-22,291.00,305.00,291.00,305.00,9.71,165900.00,50521584.00,1
2019-05-23,320.00,326.00,275.00,287.00,-5.90,531272.00,156357744.00,-1
2019-05-26,290.00,291.00,274.00,275.00,-4.18,133698.00,37436216.00,-1
2019-05-27,274.00,284.00,268.00,276.00,0.36,71364.00,19645804.00,1
2019-05-28,273.00,285.00,273.00,280.00,1.45,110919.00,30820132.00,1
2019-05-29,284.00,300.00,280.00,294.00,5.00,279590.00,81567024.00,1
2019-05-30,308.00,323.00,291.00,293.00,-0.34,303851.00,92295144.00,-1
2019-06-02,294.00,296.00,286.00,286.00,-2.39,118970.00,34437352.00,-1
2019-06-03,286.00,287.00,276.00,279.00,-2.45,110084.00,30827110.00,-1
2019-06-04,280.00,283.00,275.00,276.00,-1.08,69941.00,19406160.00,-1
2019-06-06,289.00,289.00,271.00,275.00,-0.36,47805.00,13161033.00,-1
2019-06-10,262.00,275.00,262.00,269.00,-2.18,33131.00,8955009.00,-1
2019-06-11,268.00,272.00,268.00,269.00,0.00,37850.00,10207845.00,0
2019-06-12,274.00,274.00,265.00,267.00,-0.74,31579.00,8412278.00,-1
2019-06-13,266.00,266.00,261.00,263.00,-1.50,51498.00,13548735.00,-1
2019-06-16,263.00,272.00,258.00,259.00,-1.52,47830.00,12491154.00,-1
2019-06-17,258.00,268.00,256.00,267.00,3.09,47123.00,12376727.00,1
2019-06-18,267.00,272.00,262.00,267.00,0.00,32900.00,8752325.00,0
2019-06-19,264.00,269.00,263.00,266.00,-0.37,26257.00,6971437.00,-1
2019-06-20,261.00,272.00,261.00,269.00,1.13,35254.00,9492233.00,1
2019-06-23,269.00,270.00,264.00,265.00,-1.49,32079.00,8523122.00,-1
2019-06-24,265.00,268.00,264.00,268.00,1.13,27503.00,7323357.00,1
2019-06-25,266.00,270.00,265.00,268.00,0.00,27463.00,7353205.00,0
2019-06-26,267.00,270.00,264.00,265.00,-1.12,30997.00,8258421.00,-1
2019-06-27,270.00,270.00,266.00,267.00,0.75,33763.00,9060494.00,1
2019-06-30,272.00,275.00,264.00,264.00,-1.12,30280.00,8057805.00,-1
2019-07-01,264.00,267.00,263.00,265.00,0.38,20100.00,5317517.00,1
2019-07-02,265.00,266.00,263.00,266.00,0.38,27581.00,7286673.00,1
2019-07-03,271.00,271.00,264.00,270.00,1.50,41945.00,11278516.00,1
2019-07-04,270.00,270.00,267.00,268.00,-0.74,20959.00,5626768.00,-1
2019-07-07,265.00,268.00,265.00,266.00,-0.75,25900.00,6911827.00,-1
2019-07-08,275.00,275.00,263.00,265.00,-0.38,27996.00,7431015.00,-1
2019-07-09,265.00,267.00,264.00,265.00,0.00,18532.00,4921032.00,0
2019-07-10,265.00,270.00,264.00,267.00,0.75,29600.00,7914939.00,1
2019-07-11,267.00,269.00,267.00,267.00,0.00,27009.00,7235970.00,0
2019-07-14,265.00,271.00,265.00,270.00,1.12,36145.00,9744560.00,1
2019-07-15,275.00,277.00,270.00,276.00,2.22,57744.00,15860418.00,1
2019-07-16,275.00,276.00,272.00,275.00,-0.36,22893.00,6278861.00,-1
2019-07-17,275.00,286.00,271.00,286.00,4.00,76056.00,21395514.00,1
2019-07-18,286.00,289.00,282.00,283.00,-1.05,40637.00,11583937.00,-1
2019-07-21,283.00,283.00,276.00,279.00,-1.41,42178.00,11788270.00,-1
2019-07-22,283.00,284.00,280.00,283.00,1.43,24297.00,6848011.00,1
2019-07-23,286.00,286.00,281.00,284.00,0.35,35952.00,10182116.00,1
2019-07-24,285.00,285.00,280.00,283.00,-0.35,21693.00,6133245.00,-1
2019-07-25,283.00,283.00,273.00,275.00,-2.83,88967.00,24624516.00,-1
2019-07-28,275.00,275.00,269.00,270.00,-1.82,59905.00,16213577.00,-1
2019-07-29,275.00,275.00,270.00,272.00,0.74,23467.00,6388249.00,1
2019-07-30,271.00,274.00,270.00,272.00,0.00,13698.00,3731244.00,0
2019-07-31,272.00,275.00,271.00,273.00,0.37,20942.00,5707393.00,1
2019-08-01,273.00,275.00,270.00,271.00,-0.73,29663.00,8071756.00,-1
2019-08-04,272.00,272.00,268.00,268.00,-1.11,24121.00,6497893.00,-1
2019-08-05,269.00,269.00,266.00,267.00,-0.37,24786.00,6616758.00,-1
2019-08-06,266.00,267.00,264.00,266.00,-0.37,28077.00,7447334.00,-1
2019-08-07,263.00,268.00,262.00,268.00,0.75,17127.00,4540047.00,1
2019-08-08,265.00,267.00,263.00,267.00,-0.37,32222.00,8518377.00,-1
2019-08-11,262.00,265.00,261.00,264.00,-1.12,15225.00,4005887.00,-1
2019-08-12,264.00,266.00,262.00,265.00,0.38,9474.00,2503983.00,1
2019-08-13,265.00,267.00,264.00,265.00,0.00,10536.00,2791479.00,0
2019-08-14,265.00,265.00,263.00,265.00,0.00,21939.00,5787562.00,0
2019-08-15,262.00,263.00,261.00,261.00,-1.51,10089.00,2643422.00,-1
2019-08-18,261.00,263.00,258.00,258.00,-1.15,18383.00,4770335.00,-1
2019-08-19,258.00,263.00,256.00,258.00,0.00,19292.00,5000063.00,0
2019-08-20,258.00,259.00,253.00,253.00,-1.94,27337.00,6998240.00,-1
2019-08-21,254.00,259.00,254.00,255.00,0.79,20215.00,5161879.00,1
2019-08-22,255.00,258.00,252.00,255.00,0.00,16248.00,4129062.00,0
2019-08-25,251.00,254.00,248.00,250.00,-1.96,44153.00,11058203.00,-1
2019-08-26,247.00,253.00,247.00,249.00,-0.40,20410.00,5103334.00,-1
2019-08-27,249.00,253.00,246.00,252.00,1.20,18837.00,4721401.00,1
2019-08-28,250.00,254.00,248.00,248.00,-1.59,12493.00,3110358.00,-1
2019-08-29,246.00,249.00,244.00,248.00,0.00,14411.00,3560732.00,0
2019-09-01,245.00,248.00,243.00,246.00,-0.81,20049.00,4908191.00,-1
2019-09-02,245.00,246.00,241.00,242.00,-1.63,28134.00,6824775.00,-1
2019-09-03,246.00,247.00,238.00,245.00,1.24,28471.00,6868320.00,1
2019-09-04,247.00,254.00,243.00,248.00,1.22,13544.00,3359727.00,1
2019-09-05,249.00,249.00,245.00,245.00,-1.21,17146.00,4231771.00,-1
2019-09-08,257.00,257.00,243.00,244.00,-0.41,16010.00,3916218.00,-1
2019-09-09,246.00,248.00,241.00,241.00,-1.23,18711.00,4529674.00,-1
2019-09-10,241.00,245.00,238.00,240.00,-0.41,12852.00,3084316.00,-1
2019-09-11,242.00,242.00,238.00,239.00,-0.42,13161.00,3154077.00,-1
2019-09-12,239.00,242.00,236.00,237.00,-0.84,15828.00,3757677.00,-1
2019-09-15,238.00,238.00,232.00,235.00,-0.84,17007.00,4003660.00,-1
2019-09-16,235.00,236.00,230.00,231.00,-1.70,23812.00,5534107.00,-1
2019-09-17,230.00,248.00,230.00,246.00,6.49,20706.00,4949103.00,1
2019-09-18,246.00,253.00,243.00,245.00,-0.41,57003.00,14023749.00,-1
2019-09-19,244.00,248.00,239.00,244.00,-0.41,22526.00,5435479.00,-1
2019-09-22,244.00,244.00,234.00,235.00,-3.69,13829.00,3268304.00,-1
2019-09-23,235.00,238.00,231.00,238.00,1.28,15625.00,3667705.00,1
2019-09-24,234.00,237.00,231.00,232.00,-2.52,11149.00,2609304.00,-1
2019-09-25,233.00,236.00,231.00,232.00,0.00,17434.00,4052633.00,0
2019-09-26,234.00,234.00,231.00,231.00,-0.43,20704.00,4799336.00,-1
2019-09-29,230.00,232.00,229.00,229.00,-0.87,25295.00,5821108.00,-1
2019-09-30,228.00,238.00,228.00,236.00,3.06,21389.00,4972156.00,1
2019-10-01,236.00,241.00,234.00,237.00,0.42,14322.00,3391564.00,1
2019-10-02,240.00,240.00,234.00,236.00,-0.42,4799.00,1131248.00,-1
2019-10-03,238.00,238.00,234.00,238.00,0.85,5544.00,1309458.00,1
2019-10-10,235.00,236.00,234.00,236.00,-0.84,2606.00,613736.00,-1
2019-10-14,235.00,237.00,234.00,236.00,0.00,4315.00,1014011.00,0
2019-10-15,234.00,238.00,233.00,235.00,-0.42,6431.00,1516481.00,-1
2019-10-16,235.00,238.00,232.00,238.00,1.28,14594.00,3411658.00,1
2019-10-17,238.00,238.00,233.00,237.00,-0.42,7827.00,1835196.00,-1
2019-10-20,237.00,237.00,233.00,236.00,-0.42,11075.00,2588777.00,-1
2019-10-21,234.00,236.00,232.00,236.00,0.00,11557.00,2713202.00,0
2019-10-22,236.00,238.00,233.00,235.00,-0.42,17061.00,4022669.00,-1
2019-10-23,235.00,241.00,235.00,239.00,1.70,18302.00,4357573.00,1
2019-10-24,238.00,240.00,236.00,238.00,-0.42,13922.00,3333215.00,-1
2019-10-31,238.00,238.00,235.00,236.00,-0.84,10571.00,2501741.00,-1
2019-11-03,235.00,237.00,234.00,235.00,-0.42,9055.00,2129218.00,-1
2019-11-04,235.00,236.00,234.00,236.00,0.43,8076.00,1896999.00,1
2019-11-05,235.00,237.00,234.00,237.00,0.42,6068.00,1427392.00,1
