published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,463.0,470.0,460.0,466.0,0.65,23588.0,10921968.9,1
2025-12-09,461.0,473.0,461.0,468.6,1.65,11459.0,5375724.2,1
2025-12-10,464.2,470.0,464.2,468.0,0.82,8399.0,3933895.3,1
2025-12-11,465.1,485.0,463.0,481.9,3.61,39717.0,19002583.3,1
2025-12-14,482.0,483.9,466.5,466.5,-3.22,18066.0,8509222.6,-1
2025-12-15,461.4,473.0,461.4,466.2,1.04,5381.0,2515747.6,1
2025-12-16,470.1,477.8,470.1,473.1,0.64,22274.0,10571151.6,1
2025-12-17,475.0,478.0,470.3,470.3,-0.99,9388.0,4433811.8,-1
2025-12-18,476.0,476.0,465.1,466.5,-2.0,14280.0,6681795.6,-1
2025-12-21,466.5,474.3,463.0,464.0,-0.54,7360.0,3418334.8,-1
2025-12-22,460.1,465.0,457.6,460.0,-0.02,12560.0,5775772.8,-1
