published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,690.2,774.6,690.2,774.6,12.23,49432.0,37750113.5,1
2025-12-09,790.0,837.5,790.0,830.0,5.06,43587.0,35757603.3,1
2025-12-10,846.6,861.0,815.4,850.0,0.4,42970.0,36022136.3,1
2025-12-11,840.0,840.0,811.1,830.0,-1.19,30405.0,25024848.4,-1
2025-12-14,813.4,869.0,813.4,869.0,6.84,52155.0,44184247.8,1
2025-12-15,869.0,892.0,845.5,892.0,2.65,59828.0,51997269.0,1
2025-12-16,876.0,945.0,856.8,940.0,7.31,43516.0,39097647.0,1
2025-12-17,921.2,921.2,868.0,909.8,-1.24,28422.0,25217364.1,-1
2025-12-18,892.0,933.0,850.0,891.4,-0.07,34716.0,30461707.6,-1
2025-12-21,874.0,890.0,825.0,825.0,-5.61,13694.0,11536145.5,-1
