published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,1600.0,1600.0,1540.0,1540.0,-3.75,10421.0,16222313.0,-1
2025-12-09,1550.0,1558.0,1525.0,1526.0,-1.55,7984.0,12277887.6,-1
2025-12-10,1544.0,1544.0,1501.0,1510.0,-2.2,5670.0,8590271.5,-1
2025-12-11,1500.0,1529.0,1480.0,1518.0,1.2,9170.0,13792889.7,1
2025-12-14,1535.0,1541.0,1500.1,1500.1,-2.27,2079.0,3150182.3,-1
2025-12-15,1518.8,1524.9,1480.0,1505.0,-0.91,8337.0,12519975.9,-1
2025-12-16,1531.9,1531.9,1510.6,1518.0,-0.91,3839.0,5817646.5,-1
2025-12-17,1527.9,1528.0,1500.0,1509.0,-1.24,6755.0,10166290.7,-1
2025-12-18,1518.0,1518.0,1495.0,1500.0,-1.19,4059.0,6095769.0,-1
2025-12-21,1500.0,1526.8,1438.0,1490.0,-0.67,6379.0,9426804.6,-1
2025-12-22,1471.0,1500.0,1470.0,1484.0,0.88,1913.0,2833935.6,1
2025-12-23,1504.0,1504.0,1450.0,1455.0,-3.26,2545.0,3720247.3,-1
2025-12-24,1483.0,1483.0,1451.0,1464.0,-1.28,2849.0,4158169.2,-1
2025-12-28,1477.0,1483.0,1466.0,1482.9,0.4,4365.0,6424451.0,1
2025-12-29,1499.0,1502.0,1471.0,1490.0,-0.6,5283.0,7874405.2,-1
2025-12-31,1500.0,1500.0,1470.1,1475.0,-1.67,3866.0,5733506.6,-1
2026-01-01,1451.0,1499.9,1450.2,1460.0,0.62,4844.0,7107960.7,1
2026-01-04,1488.9,1488.9,1452.0,1465.0,-1.61,2746.0,4025130.6,-1
2026-01-05,1452.0,1481.0,1452.0,1467.0,1.03,5100.0,7460315.7,1
2026-01-06,1484.9,1484.9,1460.0,1477.0,-0.53,4562.0,6697906.2,-1
2026-01-07,1484.0,1489.0,1466.0,1484.0,0.0,5835.0,8635142.3,0
2026-01-08,1470.0,1485.0,1461.5,1480.0,0.68,3101.0,4572342.2,1
2026-01-12,1504.0,1504.0,1440.0,1445.0,-3.92,10454.0,15215628.6,-1
2026-01-13,1438.0,1450.0,1425.0,1425.0,-0.9,6590.0,9451799.6,-1
2026-01-14,1428.1,1434.0,1407.0,1414.0,-0.99,8225.0,11679413.5,-1
2026-01-18,1442.2,1555.4,1432.0,1555.4,7.85,20379.0,30853779.0,1
2026-01-20,1586.5,1649.9,1582.0,1585.0,-0.09,20842.0,33607491.2,-1
2026-01-21,1580.0,1600.0,1545.2,1549.0,-1.96,8649.0,13506868.0,-1
2026-01-22,1578.0,1578.0,1500.0,1560.0,-1.14,9142.0,13916343.0,-1
2026-01-25,1589.8,1589.9,1499.5,1569.5,-1.28,14889.0,23081806.4,-1
2026-01-26,1540.0,1550.0,1505.3,1530.0,-0.65,16995.0,25865520.2,-1
2026-01-27,1501.0,1525.0,1499.4,1505.0,0.27,10718.0,16173504.8,1
2026-01-28,1515.0,1515.0,1485.0,1500.1,-0.98,7432.0,11096033.4,-1
