published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2025-12-08,779.0,789.9,765.1,770.1,-1.14,1227.0,951789.8,-1
2025-12-09,785.0,799.0,773.0,775.5,-1.21,889.0,694712.0,-1
2025-12-10,790.0,794.0,776.0,776.0,-1.77,491.0,382513.2,-1
2025-12-11,765.0,790.0,765.0,775.2,1.33,1912.0,1490583.7,1
2025-12-14,790.0,790.0,764.0,765.1,-3.15,1027.0,789942.8,-1
2025-12-15,760.2,766.0,760.1,762.0,0.24,1806.0,1376192.7,1
2025-12-16,775.0,789.0,763.5,765.0,-1.29,759.0,586992.6,-1
2025-12-17,778.0,784.0,769.0,780.0,0.26,3931.0,3039169.2,1
2025-12-18,770.3,780.0,765.1,765.3,-0.65,3582.0,2755499.6,-1
2025-12-21,756.0,769.0,756.0,767.0,1.46,581.0,444305.4,1
2025-12-22,774.9,795.4,765.0,765.6,-1.2,6217.0,4891259.5,-1
2025-12-23,765.6,778.0,765.0,778.0,1.62,381.0,293583.6,1
2025-12-24,765.0,777.0,762.0,774.9,1.29,3082.0,2352226.1,1
2025-12-28,779.0,779.0,760.3,769.0,-1.28,1241.0,951492.5,-1
2025-12-29,781.0,781.0,760.0,765.0,-2.05,1754.0,1344170.4,-1
2025-12-31,780.2,780.2,761.0,767.0,-1.69,1168.0,894491.6,-1
2026-01-01,752.0,767.0,752.0,757.0,0.66,2232.0,1695126.7,1
2026-01-04,760.0,767.0,750.0,765.0,0.66,902.0,688875.7,1
2026-01-05,765.0,780.0,758.0,770.0,0.65,3668.0,2818046.3,1
2026-01-06,785.0,785.0,754.0,769.0,-2.04,4175.0,3192033.1,-1
2026-01-07,765.0,784.9,765.0,765.0,0.0,2394.0,1853285.6,0
2026-01-08,760.1,777.0,760.1,762.1,0.26,1544.0,1188823.0,1
2026-01-12,777.3,787.0,750.0,751.0,-3.38,4786.0,3626500.3,-1
2026-01-13,765.0,777.9,758.0,758.0,-0.92,2368.0,1808311.7,-1
2026-01-14,751.0,771.0,750.1,755.0,0.53,1757.0,1339375.3,1
2026-01-18,757.0,772.0,757.0,767.0,1.32,3475.0,2669628.8,1
2026-01-20,780.0,790.0,775.0,775.0,-0.64,2617.0,2052848.9,-1
